"Sample","YrBP","Amaranthaceae","Ambrosia","Apiaceae","Asteraceae","Carya","Ceratiola.ericoides","Cupressaceae","Ericaceae","Fabaceae","Fraxinus","Gordonia","Iva","Moraceae","Myrtaceae","Ostrya","Pinus","Poaceae","Polygonaceae","Quercus","Sabal","Serenoa","Taxodium","Ulmus","Vitis","Abies","Artemisia","Betula","Fagaceae","Pseudotsuga","Ranunculaceae","Rhamnaceae","Rosaceae","Yucca","Acer","Caryophyllaceae","Ephedra","Eriogonum","Picea","Polemoniaceae","Salix","Sarcobatus.vermiculatus","Thalictrum","Alnus","Arceuthobium","Caprifoliaceae","Ceanothus","Corylus","Onagraceae","Phlox","Polygaceae","Rumex","Tsuga.heterophylla","Tsuga.mertensiana","Castanea","Ilex","Platanus","Sanguisorba","Agave","Anacardaceae","Brassicaceae","Celtis","Gentianaceae","Liliaceae","Opuntia","Prosopis","Myrica","Populus","Galium","Spiraea","Stellaria","Micranthes","Cyclachaena.xanthiifolia","Leitneria.floridana","Liquidambar","Magnolia","Nyssa","Plantago","Viburnum","Linanthus","Monardella","Symphoricarpos","Potentilla","Rhododendron","Saxifragaceae","Juglans","Tilia","Cercocarpus","Lamiaceae","Malvaceae","Ribes","Camassia","Lysichiton","Rubiaceae","Sambucus","Taxus.brevifolia","Acacia","Acalypha","Alternanthera","Begonia","Bignoniaceae","Brosimum","Bursera","Buxus","Byrsonima","Caesalpinia","Casearia","Cassia","Cecropia","Connarus","Convolvulaceae","Croton","Dodonaea","Eugenia","Euphorbiaceae","Ficus","Gustavia","Hedyosmum","Hieronyma","Hymenaea","Inga","Iresine","Lindernia","Machaerium","Malpighiaceae","Mandevilla","Melastomataceae","Meliaceae","Myrsine","Olacaceae","Oxalidaceae","Paullinia","Portulacaceae","Protium","Psychotria","Sapium","Schinus","Spermacoce","Spondias","Trema","Vitex","Zanthoxylum","Campanulaceae","Celastra","Arecaceae","Combretaceae","Rhus","Papaver","Pedicularis"
"anni1",0,0.0880559742809685,0.00367730231397287,0.000491880208526549,0.00948681270513717,0.00600438366038013,0.0054465186685319,0.013784291159141,0.00311133043020474,2.02987580632626e-05,0.00282931033590667,0.0184925329200712,0.0132828261882421,0.00154165727501015,0.0875822931284682,0.00199562749677469,0.557338254556315,0.0422738689630752,0.00046869794136594,0.124672172097769,0.000241141563249657,0.00340712095752269,0.0102621750288939,0.00239961107156119,0.00313391801823787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anni2",1000,0.0928891816850731,0.00387808037584904,0.000544565686357584,0.00960959758348465,0.00607932951857456,0.00567297388522374,0.0120397862742471,0.00369355954210548,6.0668644366434e-05,0.00286056884911028,0.0195300016839164,0.0140074009616336,0.00162020727912951,0.0894485681086766,0.00207875700322129,0.5381389748963,0.0442814930703036,0.000527022080512179,0.134131185816184,0.000225346235665577,0.00373337199291181,0.00931340410585886,0.00242050587308504,0.00321544867710393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anni3",2000,0.0979160334005086,0.00394161614327285,0.00059392804149682,0.00978006613294975,0.00630884767141036,0.00596995580969301,0.0103590995884829,0.00431695593000493,9.43445707826798e-05,0.00278101236106802,0.0203091196698231,0.0149005203854178,0.00164694056396474,0.0906310681192718,0.00214697701780239,0.518188087221625,0.0463056446116061,0.000627298570518139,0.144957074735321,0.000160423478896865,0.00398792207178673,0.00825724511346993,0.00244199943859649,0.00337781925280473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anni4",3000,0.101829869651233,0.00400758555365868,0.000612462724995542,0.00973574619297985,0.00664555665861618,0.00622305956305653,0.00872000270567675,0.00494229222279023,0.000132928752778934,0.00270753487073055,0.0206694189313024,0.0161013539474945,0.00160395926321108,0.0916904455258753,0.00213355387627058,0.498333492673293,0.0484235696330381,0.000747562305106105,0.157407273834126,0.00011803279171967,0.00416743333935683,0.00727687170417286,0.00243904349207632,0.00333094976869762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anni5",4000,0.102277213126099,0.00416137570407572,0.000597776712436182,0.00969147051552609,0.00736831068457243,0.00660996951535302,0.00717520935223755,0.00566772540055648,0.000193257404130972,0.00260000623828637,0.0203353216672125,0.0173855499088737,0.00155967944522768,0.0913227773544874,0.00198811192256592,0.479821489176169,0.0511858663311301,0.000866732125713068,0.173083792639149,8.67378740140184e-05,0.00424062030903076,0.00608136965755403,0.00246018922721675,0.00323944778340689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anni6",5000,0.10085367643864,0.00443901282773562,0.000561476416771951,0.0101102620051893,0.00872363678239708,0.00681236898017552,0.00547771241877305,0.00632903943788528,0.000262878601941748,0.00249509507917073,0.0191064074299996,0.0185457453011405,0.00142257042084199,0.0896241483745962,0.00187600963445118,0.458716410317048,0.0557496083097469,0.00101988408012888,0.193035737274855,5.2611850180184e-05,0.00435225069975834,0.00482201079723577,0.00246167923773265,0.00314976744509264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anni7",6000,0.0952401245819982,0.00643704169522164,0.000511622933077211,0.0112694720341796,0.0107948558607478,0.00704659870010276,0.00387212122597973,0.00694826368572796,0.000284132128076977,0.00223967365759727,0.0167282797530361,0.0197576102080901,0.00119043839384138,0.0822425069315358,0.00160246205379747,0.431068774672182,0.0642740027056028,0.00126000513089121,0.224398721842963,0,0.00400115711052595,0.00348569742796254,0.00237611549778131,0.0029703219665678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anni8",7000,0.0811947871315293,0.0169544959512758,0.000497352604388103,0.0151567338647164,0.0138006009851942,0.00680088693624248,0.0024077661850642,0.0070997031999675,0.000330515429741589,0.00193988749749716,0.0122888224610271,0.0199549781864781,0.000825787699821225,0.067752181330928,0.00110486793661628,0.388089115399772,0.0777882923266537,0.00178499907305379,0.274090186586186,0,0.00321392617198115,0.00215034109273525,0.0022712748705672,0.00250249734064684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anni9",8000,0.0586152743125486,0.0392447539629374,0.000669649862850972,0.0242410719826782,0.0181231659625918,0.00593108854842333,0.00129985596907127,0.00647440843047516,0.000497431930043197,0.0014673770375162,0.00576695241300216,0.0178780876999352,0.00040551408775378,0.0438282081891793,0.000647487593930885,0.330175989274363,0.0951607211296112,0.00258493616688985,0.339808876167019,0,0.00190154775978402,0.000767279347904968,0.00234491510028078,0.00216540728935205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anni10",9000,0.0424965440382437,0.0690509404938506,0.00102873205987277,0.0368515346896595,0.0204820524120743,0.0041229849822128,0.00105343834628914,0.00463469997916927,0.000800006520169639,0.00117968276242984,0.000963944628539354,0.0134659847696645,0.000134479663714606,0.0232518634543096,0.000680470195384807,0.281152834570887,0.104076301900137,0.00378227421940876,0.385097270583011,0,0.000729297188349757,0.000453220751602844,0.00256568757273294,0.00194575428975926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
