"","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Acalypha",NA,"leaf nitrogen content per leaf dry mass","25.349","mg.g-1","Total amount of N per unit of dry leaf mass - Cornelissen et al. 2003",10.98407,-85.42447,650,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","Costa Rica","Guanacaste","Area de Concervacion Guanacaste Pitilla Station","public",3153831
"2","Acalypha","Acalypha virginica","whole plant height","0.6","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",3187979
"3","Acalypha","Acalypha diversifolia","leaf thickness","0.092","mm","lamina thickness is the thickness of the leaf lamina measured in regions that do not include primary or secondary veins.  Species means of the individual means of two leaves per individual for the lamina portion used in shearing test.",9.166667,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.8525","Westbrook JW","jwestbrook@ufl.edu","Panama","Panama",NA,"public",3277023
"4","Acalypha","Acalypha diversifolia","Leaf lamina fracture toughness","466.333","J.m-2","lamina fracture toughness is the work to fracture leaf tissue divided by fracture area (lamina thickness * length of fracture). Species means of the individual means of two leaves per individual.",9.166667,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.8525","Westbrook JW","jwestbrook@ufl.edu","Panama","Panama",NA,"public",3277025
"5","Acalypha","Acalypha macrostachya","leaf thickness","0.083","mm","lamina thickness is the thickness of the leaf lamina measured in regions that do not include primary or secondary veins.  Species means of the individual means of two leaves per individual for the lamina portion used in shearing test.",9.166667,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.8525","Westbrook JW","jwestbrook@ufl.edu","Panama","Panama",NA,"public",3277035
"6","Acalypha","Acalypha macrostachya","Leaf lamina fracture toughness","214.513","J.m-2","lamina fracture toughness is the work to fracture leaf tissue divided by fracture area (lamina thickness * length of fracture). Species means of the individual means of two leaves per individual.",9.166667,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.8525","Westbrook JW","jwestbrook@ufl.edu","Panama","Panama",NA,"public",3277039
"7","Acalypha","Acalypha diversifolia","whole plant growth form","shrub",NA,NA,NA,NA,NA,"http://download.springer.com.ezproxy3.library.arizona.edu/static/pdf/535/chp%253A10.1007%252F978-94-011-1749-4_22.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Fchapter%2F10.1007%2F978-94-011-1749-4_22&token2=exp=1489967978~acl=%2Fstatic%2Fpdf%2F535%2Fchp%25253A10.1007%25252F978-94-011-1749-4_22.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Fchapter%252F10.1007%252F978-94-011-1749-4_22*~hmac=df74317967096f6fb45ba6237e9361355fe9ceb9570bb2ee872d767ae692823f","Guevara S",NA,"Mexico",NA,NA,"public",3843169
"8","Acalypha","Acalypha alopecuroides","whole plant growth form","herb",NA,NA,NA,NA,NA,"http://download.springer.com.ezproxy4.library.arizona.edu/static/pdf/451/art%253A10.1007%252FBF02907342.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Farticle%2F10.1007%2FBF02907342&token2=exp=1491628620~acl=%2Fstatic%2Fpdf%2F451%2Fart%25253A10.1007%25252FBF02907342.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Farticle%252F10.1007%252FBF02907342*~hmac=df8fa5073996fa2a6870a1c77d2d8f9dbbc32bc8bc4d56675f37ccb228bcf40c","Comerford SC",NA,"Guatemala",NA,NA,"public",3846288
"9","Acalypha","Acalypha diversifolia","whole plant growth form","shrub",NA,NA,NA,NA,NA,"https://www.researchgate.net/profile/Guillermo_Ibarra-Manriquez/publication/257220575_Corrections/links/5489f0110cf2d1800d7aa5a0.pdf","Ibarra-Manriquez G",NA,"Mexico","Veracruz",NA,"public",3861393
"10","Acalypha",NA,"leaf phosphorus content per leaf dry mass","1.04592489","mg.g-1",NA,10.54316,-85.16853,431,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","Costa Rica","Alajuela","Area de Concervacion Guanacaste Sector Rincon Rainforest (Caribe)","public",3997858
"11","Acalypha",NA,"leaf carbon content per leaf dry mass","424.408","mg.g-1","carbon concentration of oven-dried (70ÃÂ°C for 72 hours) tissue",10.98407,-85.42447,650,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","Costa Rica","Guanacaste","Area de Concervacion Guanacaste Pitilla Station","public",3997864
"12","Acalypha",NA,"leaf nitrogen content per leaf dry mass","31.336","mg.g-1","Total amount of N per unit of dry leaf mass - Cornelissen et al. 2003",10.98407,-85.42447,650,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","Costa Rica","Guanacaste","Area de Concervacion Guanacaste Pitilla Station","public",3997870
"13","Acalypha",NA,"leaf phosphorus content per leaf dry mass","1.52498394","mg.g-1",NA,10.98407,-85.42447,650,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","Costa Rica","Guanacaste","Area de Concervacion Guanacaste Pitilla Station","public",3997876
"14","Acalypha","Acalypha diversifolia","diameter at breast height (1.3 m)","5000.5","cm",NA,9.086520195,-79.64240265,NA,NA,"Richard Condit",NA,"Panama",NA,NA,"public",6134950
"15","Acalypha","Acalypha diversifolia","diameter at breast height (1.3 m)","5000.5","cm",NA,9.280870438,-79.97470093,NA,NA,"Richard Condit",NA,"Panama",NA,NA,"public",7626348
"16","Acalypha","Acalypha diversifolia","diameter at breast height (1.3 m)","5005","cm",NA,9.151249886,-79.8553009,NA,NA,"Richard Condit",NA,"Panama",NA,NA,"public",9854413
"17","Acalypha","Acalypha diversifolia","diameter at breast height (1.3 m)","5000.5","cm",NA,9.158240318,-79.86119843,NA,NA,"Richard Condit",NA,"Panama",NA,NA,"public",10140931
"18","Acalypha","Acalypha macrostachya","diameter at breast height (1.3 m)","5005","cm",NA,9.151249886,-79.8553009,NA,NA,"Richard Condit",NA,"Panama",NA,NA,"public",14225829
"19","Acalypha","Acalypha diversifolia","diameter at breast height (1.3 m)","5005","cm",NA,9.151249886,-79.8553009,NA,NA,"Richard Condit",NA,"Panama",NA,NA,"public",15334485
"20","Acalypha","Acalypha macrostachya","diameter at breast height (1.3 m)","5000.5","cm",NA,9.151249886,-79.8553009,NA,NA,"Richard Condit",NA,"Panama",NA,NA,"public",15705443
"21","Acalypha","Acalypha macrostachya","diameter at breast height (1.3 m)","5000.5","cm",NA,9.151249886,-79.8553009,NA,NA,"Richard Condit",NA,"Panama",NA,NA,"public",15758524
"22","Acalypha","Acalypha diversifolia","diameter at breast height (1.3 m)","5000.5","cm",NA,8.986410141,-79.61799622,NA,NA,"Richard Condit",NA,"Panama",NA,NA,"public",17773453
"23","Acalypha","Acalypha stenoloba","diameter at breast height (1.3 m)","2.5","cm",NA,9.1,-79.6,NA,NA,"James S. MIller",NA,"Panama",NA,NA,"public",33584
"24","Acalypha","Acalypha stenoloba","diameter at breast height (1.3 m)","2.5","cm",NA,9.1,-79.6,NA,NA,"James S. MIller",NA,"Panama",NA,NA,"public",33585
"25","Acalypha","Acalypha apodanthes","diameter at breast height (1.3 m)","2.5","cm",NA,10.3328,-84.0789,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",342965
"26","Acalypha","Acalypha skutchii","diameter at breast height (1.3 m)","2.5","cm",NA,18.598,-95.096,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",490143
"27","Acalypha","Acalypha diversifolia","diameter at breast height (1.3 m)","2.5","cm",NA,12.3,-85.4,NA,NA,"James S. MIller",NA,"Nicaragua",NA,NA,"public",545787
"28","Acalypha","Acalypha stenoloba","diameter at breast height (1.3 m)","2.5","cm",NA,9.1,-79.6,NA,NA,"James S. MIller",NA,"Panama",NA,NA,"public",545830
"29","Acalypha","Acalypha skutchii","diameter at breast height (1.3 m)","2.5","cm",NA,18.598,-95.096,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",599541
"30","Acalypha","Acalypha skutchii","diameter at breast height (1.3 m)","2.5","cm",NA,18.598,-95.096,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",626887
"31","Acalypha","Acalypha diversifolia","diameter at breast height (1.3 m)","2.5","cm",NA,12.3,-85.4,NA,NA,"James S. MIller",NA,"Nicaragua",NA,NA,"public",748297
"32","Acalypha","Acalypha diversifolia","diameter at breast height (1.3 m)","2.5","cm",NA,12.3,-85.4,NA,NA,"James S. MIller",NA,"Nicaragua",NA,NA,"public",748298
"33","Acalypha","Acalypha diversifolia","diameter at breast height (1.3 m)","2.5","cm",NA,12.3,-85.4,NA,NA,"James S. MIller",NA,"Nicaragua",NA,NA,"public",748299
