"","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Ambrosia","Ambrosia trifida","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15415
"2","Ambrosia",NA,"plant flowering begin","8","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3107149
"3","Ambrosia",NA,"plant flowering begin","8/10/1957","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3107150
"4","Ambrosia","Ambrosia trifida","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3110471
"5","Ambrosia","Ambrosia trifida","plant flowering begin","7/31/1916","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3110468
"6","Ambrosia","Ambrosia trifida","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3110469
"7","Ambrosia","Ambrosia trifida","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3110470
"8","Ambrosia","Ambrosia trifida","plant flowering begin","7/24/1957","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3110506
"9","Ambrosia","Ambrosia trifida","plant flowering begin","7/1/1913","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3152791
"10","Ambrosia",NA,"plant flowering begin","7/28/1910","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3161977
"11","Ambrosia",NA,"plant flowering begin","8/10/1917","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3167999
"12","Ambrosia",NA,"plant flowering begin","8","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3168163
"13","Ambrosia",NA,"plant flowering begin","8","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3168165
"14","Ambrosia","Ambrosia trifida","plant flowering begin","7/25/1956","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3186520
"15","Ambrosia","Ambrosia trifida","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3186660
"16","Ambrosia",NA,"plant flowering begin","7/24/1912","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3207771
"17","Ambrosia","Ambrosia trifida","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3233260
"18","Ambrosia","Ambrosia trifida","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3233520
"19","Ambrosia","Ambrosia trifida","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3233512
"20","Ambrosia","Ambrosia trifida","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3253277
"21","Ambrosia",NA,"plant flowering begin","8/10/1954","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3299093
"22","Ambrosia","Ambrosia trifida","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3299183
"23","Ambrosia",NA,"plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3452826
"24","Ambrosia",NA,"plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3456909
"25","Ambrosia","Ambrosia trifida","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3758467
"26","Ambrosia","Ambrosia trifida","plant flowering begin","8/1/1920","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3759739
"27","Ambrosia","Ambrosia trifida","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3760536
"28","Ambrosia","Ambrosia trifida","plant flowering begin","6/25/1910","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3760585
"29","Ambrosia","Ambrosia trifida","plant flowering begin","7/22/1919","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3760522
"30","Ambrosia","Ambrosia trifida","plant flowering begin","7/20/1929","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3760530
"31","Ambrosia","Ambrosia trifida","plant flowering begin","7/21/1917","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3760542
"32","Ambrosia","Ambrosia trifida","plant flowering begin","7/19/1925","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3760557
"33","Ambrosia","Ambrosia trifida","plant flowering begin","7/10/1912","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3760635
"34","Ambrosia","Ambrosia trifida","plant flowering begin","8","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3760643
"35","Ambrosia","Ambrosia trifida","plant flowering begin","7/6/1921","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3760654
"36","Ambrosia","Ambrosia trifida","plant flowering begin","7/5/1923","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3760664
"37","Ambrosia","Ambrosia psilostachya","whole plant growth form","ruderal",NA,NA,NA,NA,NA,"https://link.springer.com/article/10.1007/BF00045202","Knapp AK",NA,"United States","Kansas",NA,"public",3830533
"38","Ambrosia","Ambrosia ambrosioides","whole plant growth form","shrub",NA,NA,NA,NA,NA,"http://www.jstor.org.ezproxy4.library.arizona.edu/stable/pdf/40021924.pdf","Whittaker RH",NA,"United States","Arizona","Santa Clarita Mountains","public",3845287
"39","Ambrosia","Ambrosia confertiflora","whole plant growth form","herb",NA,NA,NA,NA,NA,"http://www.jstor.org.ezproxy4.library.arizona.edu/stable/pdf/40021924.pdf","Whittaker RH",NA,"United States","Arizona","Santa Clarita Mountains","public",3845288
"40","Ambrosia","Ambrosia cordifolia","whole plant growth form","shrub",NA,NA,NA,NA,NA,"http://www.jstor.org.ezproxy4.library.arizona.edu/stable/pdf/40021924.pdf","Whittaker RH",NA,"United States","Arizona","Santa Clarita Mountains","public",3845289
"41","Ambrosia","Ambrosia deltoidea","whole plant growth form","shrub",NA,NA,NA,NA,NA,"http://www.jstor.org.ezproxy4.library.arizona.edu/stable/pdf/40021924.pdf","Whittaker RH",NA,"United States","Arizona","Santa Clarita Mountains","public",3845290
"42","Ambrosia","Ambrosia trifida","maximum whole plant height","0.64","m",NA,NA,NA,NA,NA,"Angela Moles","a.moles@unsw.edu.au","United States","Iowa",NA,"public",3967959
"43","Ambrosia","Ambrosia dumosa","seed mass","1.788","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4431599
"44","Ambrosia","Ambrosia dumosa","seed mass","0.79","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4431600
"45","Ambrosia","Ambrosia chamissonis","seed mass","12.185","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4431632
"46","Ambrosia","Ambrosia acanthicarpa","seed mass","4.229","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4431636
"47","Ambrosia","Ambrosia chamissonis","seed mass","11.705","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4431638
"48","Ambrosia","Ambrosia dumosa","leaf stomatal conductance for H2O per leaf area","761","mol.H2O.m-2.s-1",NA,36.77,-115.964,1134,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Nevada",NA,"public",4299795
"49","Ambrosia","Ambrosia artemisiifolia","leaf stomatal conductance for H2O per leaf area","1035","mol.H2O.m-2.s-1",NA,45.41,-93.21,300,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Minnesota",NA,"public",4299796
"50","Ambrosia","Ambrosia artemisiifolia","leaf nitrogen content per leaf area","0.00199","kg.m-2",NA,45.41,-93.21,300,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Minnesota",NA,"public",4299797
"51","Ambrosia","Ambrosia artemisiifolia","leaf nitrogen content per leaf dry mass","25.5","mg.g-1",NA,45.41,-93.21,300,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Minnesota",NA,"public",4299798
"52","Ambrosia","Ambrosia artemisiifolia","leaf area per leaf dry mass","12.9","m2.kg-1",NA,45.41,-93.21,300,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Minnesota",NA,"public",4299799
"53","Ambrosia","Ambrosia artemisiifolia","leaf photosynthetic rate per leaf area","27.4","Âµmol.m-2.s-1",NA,45.41,-93.21,300,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Minnesota",NA,"public",4299800
"54","Ambrosia","Ambrosia artemisiifolia","leaf photosynthetic rate per leaf dry mass","0.35346","Âµmol.g-1.s-1",NA,45.41,-93.21,300,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Minnesota",NA,"public",4299801
"55","Ambrosia","Ambrosia artemisiifolia","leaf carbon content per leaf nitrogen content","12.742",NA,NA,45.41,-93.21,300,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Minnesota",NA,"public",4299802
"56","Ambrosia","Ambrosia dumosa","leaf nitrogen content per leaf area","0.0048951049","kg.m-2",NA,36.77,-115.964,1134,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Nevada",NA,"public",4299803
"57","Ambrosia","Ambrosia dumosa","leaf nitrogen content per leaf dry mass","35","mg.g-1",NA,36.77,-115.964,1134,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Nevada",NA,"public",4299804
"58","Ambrosia","Ambrosia dumosa","leaf area per leaf dry mass","7.15","m2.kg-1",NA,36.77,-115.964,1134,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Nevada",NA,"public",4299805
"59","Ambrosia","Ambrosia dumosa","leaf photosynthetic rate per leaf area","13","Âµmol.m-2.s-1",NA,37.02,-113.83,1215,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Utah",NA,"public",4299806
"60","Ambrosia","Ambrosia dumosa","leaf photosynthetic rate per leaf area","39.2","Âµmol.m-2.s-1",NA,36.77,-115.964,1134,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Nevada",NA,"public",4299807
"61","Ambrosia","Ambrosia dumosa","leaf photosynthetic rate per leaf dry mass","0.28028","Âµmol.g-1.s-1",NA,36.77,-115.964,1134,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Nevada",NA,"public",4299808
"62","Ambrosia","Ambrosia dumosa","leaf carbon content per leaf nitrogen content","8.846",NA,NA,37.02,-113.83,1215,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Utah",NA,"public",4299809
"63","Ambrosia","Ambrosia dumosa","leaf carbon content per leaf nitrogen content","8.808",NA,NA,36.77,-115.964,1134,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Nevada",NA,"public",4299810
"64","Ambrosia","Ambrosia eriocentra","leaf photosynthetic rate per leaf area","12.7","Âµmol.m-2.s-1",NA,37.02,-113.83,1215,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Utah",NA,"public",4299811
"65","Ambrosia","Ambrosia eriocentra","leaf carbon content per leaf nitrogen content","8.846",NA,NA,37.02,-113.83,1215,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Utah",NA,"public",4299812
"66","Ambrosia","Ambrosia psilostachya","leaf carbon content per leaf nitrogen content","10.414",NA,NA,39.2,-96.58,325,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Kansas",NA,"public",4299813
"67","Ambrosia","Ambrosia psilostachya","leaf stomatal conductance for H2O per leaf area","1108.54722","mol.H2O.m-2.s-1",NA,39.2,-96.58,325,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Kansas",NA,"public",4299814
"68","Ambrosia","Ambrosia psilostachya","leaf photosynthetic rate per leaf area","18.6744444","Âµmol.m-2.s-1",NA,39.2,-96.58,325,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Kansas",NA,"public",4299815
"69","Ambrosia","Ambrosia trifida","leaf photosynthetic rate per leaf dry mass","0.392","Âµmol.g-1.s-1",NA,40.1,-88.23,226,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Illinois",NA,"public",4299816
"70","Ambrosia","Ambrosia trifida","leaf nitrogen content per leaf area","0.00248","kg.m-2",NA,40.1,-88.23,226,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Illinois",NA,"public",4299817
"71","Ambrosia","Ambrosia trifida","leaf nitrogen content per leaf dry mass","44.1","mg.g-1",NA,40.1,-88.23,226,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Illinois",NA,"public",4299818
"72","Ambrosia","Ambrosia trifida","leaf area per leaf dry mass","18","m2.kg-1",NA,40.1,-88.23,226,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Illinois",NA,"public",4299819
"73","Ambrosia","Ambrosia trifida","leaf photosynthetic rate per leaf area","21.8","Âµmol.m-2.s-1",NA,40.1,-88.23,226,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Illinois",NA,"public",4299820
