"","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Brosimum","Brosimum lactescens","leaf phosphorus content per leaf dry mass","4.42","mg.g-1","Nutrient concentrations were obtained through a Kjeldahl wet digestion  (Technicon Industrial System, method No. 696-82 W) and colorimetric analysis with a Bran+Luebbe AutoAnalyzer 3.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.49m29","Andresen E","andresen@cieco.unam.mx","Mexico","Chiapas",NA,"public",3106530
"2","Brosimum","Brosimum utile","leaf nitrogen content per leaf dry mass","14","mg.g-1","Canopy N% was estimated with the Carnegie Airborne Observatory Airborne Taxonomic Mapping System (CAO-AToMs) onboard a Dornier 228 Aircraft. The sensor configuration used consisted of a high-fidelity imaging spectrometer (HiFIS) and a dual laser, waveform light detection and ranging (LiDAR) sensor.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.ck585","Balzotti CS","cbalzotti@carnegiescience.edu","Costa Rica","Puntarenas",NA,"public",3106531
"3","Brosimum","Brosimum alicastrum","Leaf lamina fracture toughness","588.25","J.m-2","lamina fracture toughness is the work to fracture leaf tissue divided by fracture area (lamina thickness * length of fracture). Species means of the individual means of two leaves per individual.",9.166667,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.8525","Westbrook JW","jwestbrook@ufl.edu","Panama","Panama",NA,"public",3113530
"4","Brosimum","Brosimum lactescens","leaf nitrogen content per leaf dry mass","26.857","mg.g-1","Nutrient concentrations were obtained through a Kjeldahl wet digestion  (Technicon Industrial System, method No. 696-82 W) and colorimetric analysis with a Bran+Luebbe AutoAnalyzer 3.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.49m29","Andresen E","andresen@cieco.unam.mx","Mexico","Chiapas",NA,"public",3113538
"5","Brosimum","Brosimum lactescens","leaf phosphorus content per leaf dry mass","3.12","mg.g-1","Nutrient concentrations were obtained through a Kjeldahl wet digestion  (Technicon Industrial System, method No. 696-82 W) and colorimetric analysis with a Bran+Luebbe AutoAnalyzer 3.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.49m29","Andresen E","andresen@cieco.unam.mx","Mexico","Chiapas",NA,"public",3113539
"6","Brosimum","Brosimum utile","leaf nitrogen content per leaf dry mass","12.8","mg.g-1","Canopy N% was estimated with the Carnegie Airborne Observatory Airborne Taxonomic Mapping System (CAO-AToMs) onboard a Dornier 228 Aircraft. The sensor configuration used consisted of a high-fidelity imaging spectrometer (HiFIS) and a dual laser, waveform light detection and ranging (LiDAR) sensor.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.ck585","Balzotti CS","cbalzotti@carnegiescience.edu","Costa Rica","Puntarenas",NA,"public",3113542
"7","Brosimum","Brosimum utile","leaf nitrogen content per leaf dry mass","17.8","mg.g-1","Canopy N% was estimated with the Carnegie Airborne Observatory Airborne Taxonomic Mapping System (CAO-AToMs) onboard a Dornier 228 Aircraft. The sensor configuration used consisted of a high-fidelity imaging spectrometer (HiFIS) and a dual laser, waveform light detection and ranging (LiDAR) sensor.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.ck585","Balzotti CS","cbalzotti@carnegiescience.edu","Costa Rica","Puntarenas",NA,"public",3113545
"8","Brosimum","Brosimum lactescens","leaf nitrogen content per leaf dry mass","26.9","mg.g-1","Nutrient concentrations were obtained through a Kjeldahl wet digestion  (Technicon Industrial System, method No. 696-82 W) and colorimetric analysis with a Bran+Luebbe AutoAnalyzer 3.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.49m29","Andresen E","andresen@cieco.unam.mx","Mexico","Chiapas",NA,"public",3119367
"9","Brosimum","Brosimum lactescens","leaf nitrogen content per leaf dry mass","19.6","mg.g-1","Nutrient concentrations were obtained through a Kjeldahl wet digestion  (Technicon Industrial System, method No. 696-82 W) and colorimetric analysis with a Bran+Luebbe AutoAnalyzer 3.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.49m29","Andresen E","andresen@cieco.unam.mx","Mexico","Chiapas",NA,"public",3120243
"10","Brosimum","Brosimum costaricanum","leaf nitrogen content per leaf dry mass","14.1","mg.g-1","Canopy N% was estimated with the Carnegie Airborne Observatory Airborne Taxonomic Mapping System (CAO-AToMs) onboard a Dornier 228 Aircraft. The sensor configuration used consisted of a high-fidelity imaging spectrometer (HiFIS) and a dual laser, waveform light detection and ranging (LiDAR) sensor.",NA,NA,50,"http://datadryad.org/resource/doi:10.5061/dryad.ck585","Balzotti CS","cbalzotti@carnegiescience.edu","Costa Rica","Puntarenas",NA,"public",3123425
