"","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Buxus","Buxus sempervirens","leaf carbon content per leaf nitrogen content","9.909",NA,NA,43.72,3.37,285,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","France",NA,NA,"public",4301131
"2","Buxus","Buxus sempervirens","leaf photosynthetic rate per leaf dry mass","0.0329164667","Âµmol.g-1.s-1",NA,43.72,3.37,285,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","France",NA,NA,"public",4301130
"3","Buxus","Buxus sempervirens","leaf photosynthetic rate per leaf area","5.39614208","Âµmol.m-2.s-1",NA,43.72,3.37,285,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","France",NA,NA,"public",4301129
"4","Buxus","Buxus sempervirens","leaf nitrogen content per leaf dry mass","14.5852","mg.g-1",NA,43.72,3.37,285,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","France",NA,NA,"public",4301128
"5","Buxus","Buxus sempervirens","leaf nitrogen content per leaf area","0.00239101639","kg.m-2",NA,43.72,3.37,285,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","France",NA,NA,"public",4301127
"6","Buxus","Buxus sempervirens","leaf area per leaf dry mass","6.1","m2.kg-1",NA,43.72,3.37,285,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","France",NA,NA,"public",3953129
"7","Buxus","Buxus sempervirens","leaf area","137.3","mm2","laboratory/greenhouse/garden experiment",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","K. Thompson","ken.thompson@sheffield.ac.uk","United Kingdom",NA,NA,"public",4432169
"8","Buxus","Buxus sempervirens","leaf area","180.3","mm2","laboratory/greenhouse/garden experiment",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","K. Thompson","ken.thompson@sheffield.ac.uk","United Kingdom",NA,NA,"public",4432168
"9","Buxus","Buxus sempervirens","leaf area","108.1","mm2","laboratory/greenhouse/garden experiment",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","K. Thompson","ken.thompson@sheffield.ac.uk","United Kingdom",NA,NA,"public",4432167
"10","Buxus","Buxus sempervirens","leaf area","129.3","mm2","laboratory/greenhouse/garden experiment",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","K. Thompson","ken.thompson@sheffield.ac.uk","United Kingdom",NA,NA,"public",4432166
