"","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Caesalpinia","Caesalpinia caladenia","stem wood density","0.58","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.6p9v5","Bhaskar R","radika@gmail.com","Mexico","Jalisco",NA,"public",3111164
"2","Caesalpinia","Caesalpinia pulcherrima","whole plant height","4.8768","m","Maximum height",NA,NA,NA,"http://www.americanforests.org/resources/bigtrees/register.php",NA,NA,"United States",NA,NA,"public",3146650
"3","Caesalpinia","Caesalpinia pulcherrima","whole plant height","3.6576","m","Maximum height",NA,NA,NA,"http://www.americanforests.org/resources/bigtrees/register.php",NA,NA,"United States",NA,NA,"public",3148109
"4","Caesalpinia","Caesalpinia caladenia","leaf nitrogen content per leaf dry mass","20","mg.g-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.6p9v5","Bhaskar R","radika@gmail.com","Mexico","Jalisco",NA,"public",3188790
"5","Caesalpinia","Caesalpinia coriaria","stem wood density","1.14","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","Mexico",NA,NA,"public",3188850
"6","Caesalpinia","Caesalpinia platyloba","stem wood density","1.03","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","Mexico",NA,NA,"public",3188861
"7","Caesalpinia","Caesalpinia eriostachys","stem wood density","0.61","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.6p9v5","Bhaskar R","radika@gmail.com","Mexico","Jalisco",NA,"public",3188889
"8","Caesalpinia","Caesalpinia sclerocarpa","leaf area per leaf dry mass","21.83","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.6p9v5","Bhaskar R","radika@gmail.com","Mexico","Jalisco",NA,"public",3188912
"9","Caesalpinia","Caesalpinia coriaria","stem wood density","0.71","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.6p9v5","Bhaskar R","radika@gmail.com","Mexico","Jalisco",NA,"public",3189065
"10","Caesalpinia","Caesalpinia eriostachys","stem wood density","0.74","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","Mexico",NA,NA,"public",3189080
"11","Caesalpinia","Caesalpinia pulcherrima","stem wood density","0.84","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","Mexico",NA,NA,"public",3189084
"12","Caesalpinia","Caesalpinia sclerocarpa","stem wood density","1.39","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","Mexico",NA,NA,"public",3189086
"13","Caesalpinia","Caesalpinia caladenia","stem wood density","0.58","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.6p9v5","Bhaskar R","radika@gmail.com","Mexico","Jalisco",NA,"public",3237939
"14","Caesalpinia","Caesalpinia caladenia","leaf nitrogen content per leaf dry mass","20","mg.g-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.6p9v5","Bhaskar R","radika@gmail.com","Mexico","Jalisco",NA,"public",3237945
"15","Caesalpinia","Caesalpinia caladenia","stem wood density","0.91","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","Mexico",NA,NA,"public",3237963
"16","Caesalpinia","Caesalpinia caladenia","leaf area per leaf dry mass","17.16","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.6p9v5","Bhaskar R","radika@gmail.com","Mexico","Jalisco",NA,"public",3237975
"17","Caesalpinia","Caesalpinia coriaria","leaf area per leaf dry mass","12.38","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.6p9v5","Bhaskar R","radika@gmail.com","Mexico","Jalisco",NA,"public",3238075
"18","Caesalpinia","Caesalpinia eriostachys","leaf area per leaf dry mass","21.08","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.6p9v5","Bhaskar R","radika@gmail.com","Mexico","Jalisco",NA,"public",3238084
"19","Caesalpinia","Caesalpinia caladenia","leaf area per leaf dry mass","23.01","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.6p9v5","Bhaskar R","radika@gmail.com","Mexico","Jalisco",NA,"public",3254842
