"","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Castanea","Castanea mollissima","whole plant height","10.668","m",NA,35.972085,-84.188162,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",22209968
"2","Castanea","Castanea mollissima","whole plant height","10.9728","m",NA,32.575608,-89.144649,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",18785887
"3","Castanea","Castanea mollissima","whole plant height","7.3152","m",NA,36.883675,-79.066059,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",18747517
"4","Castanea","Castanea mollissima","diameter at breast height (1.3 m)","3.048","cm",NA,39.167133,-81.787722,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",12829218
"5","Castanea","Castanea mollissima","diameter at breast height (1.3 m)","22.098","cm",NA,35.972085,-84.188162,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",11243685
"6","Castanea","Castanea mollissima","diameter at breast height (1.3 m)","27.432","cm",NA,32.575608,-89.144649,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",6292415
"7","Castanea","Castanea mollissima","diameter at breast height (1.3 m)","11.176","cm",NA,36.883675,-79.066059,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",6234096
"8","Castanea","Castanea dentata","leaf area","9630","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Massachusetts","Harvard Forest","public",15567
"9","Castanea","Castanea dentata","leaf dry mass","0.54","g","actual measurement",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Massachusetts","Harvard Forest","public",3190008
"10","Castanea","Castanea dentata","leaf dry mass","0.21","g","actual measurement",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Pennsylvania","Hawk Mountain Sanctuary","public",3190046
"11","Castanea","Castanea dentata","leaf area","12400","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Pennsylvania",NA,"public",3190050
"12","Castanea","Castanea dentata","leaf area per leaf dry mass","19.96007984","m2.kg-1","leaf dry area calculated with photpographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Massachusetts","Harvard Forest","public",3190052
"13","Castanea","Castanea dentata","leaf area","8920","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Massachusetts","Harvard Forest","public",3190053
"14","Castanea","Castanea dentata","leaf dry mass","0.74","g","actual measurement",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Massachusetts","Harvard Forest","public",3790046
"15","Castanea","Castanea dentata","leaf dry mass","0.49","g","actual measurement",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Massachusetts","Harvard Forest","public",3790469
"16","Castanea","Castanea dentata","leaf dry mass","0.41","g","actual measurement",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Massachusetts","Harvard Forest","public",3790708
"17","Castanea","Castanea dentata","leaf dry mass","0.22","g","actual measurement",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Pennsylvania","Hawk Mountain Sanctuary","public",3790806
"18","Castanea","Castanea dentata","leaf dry mass","0.3","g","actual measurement",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Pennsylvania","Hawk Mountain Sanctuary","public",3790808
"19","Castanea","Castanea dentata","leaf dry mass","0.38","g","actual measurement",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Massachusetts","Harvard Forest","public",3790814
"20","Castanea","Castanea dentata","leaf area","5380","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Pennsylvania","Hawk Mountain Sanctuary","public",3790815
"21","Castanea","Castanea dentata","leaf area","7450","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Pennsylvania","Hawk Mountain Sanctuary","public",3790820
"22","Castanea","Castanea dentata","leaf area","5200","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Pennsylvania","Hawk Mountain Sanctuary","public",3790821
"23","Castanea","Castanea dentata","leaf area per leaf dry mass","25.64102564","m2.kg-1","leaf dry area calculated with photpographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Pennsylvania","Hawk Mountain Sanctuary","public",3790822
"24","Castanea","Castanea dentata","leaf area per leaf dry mass","24.87562189","m2.kg-1","leaf dry area calculated with photpographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Pennsylvania","Hawk Mountain Sanctuary","public",3790823
"25","Castanea","Castanea dentata","leaf area per leaf dry mass","23.64066194","m2.kg-1","leaf dry area calculated with photpographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Pennsylvania","Hawk Mountain Sanctuary","public",3790824
"26","Castanea","Castanea dentata","leaf area per leaf dry mass","18.24817518","m2.kg-1","leaf dry area calculated with photpographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Massachusetts","Harvard Forest","public",3790825
"27","Castanea","Castanea dentata","leaf area per leaf dry mass","17.88908766","m2.kg-1","leaf dry area calculated with photpographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Massachusetts","Harvard Forest","public",3790827
"28","Castanea","Castanea dentata","leaf area per leaf dry mass","17.09401709","m2.kg-1","leaf dry area calculated with photpographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Massachusetts","Harvard Forest","public",3790828
"29","Castanea","Castanea dentata","leaf area","6390","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Massachusetts","Harvard Forest","public",3790829
"30","Castanea","Castanea dentata","leaf area per leaf dry mass","14.4092219","m2.kg-1","leaf dry area calculated with photpographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Massachusetts","Harvard Forest","public",3790830
"31","Castanea","Castanea dentata","leaf nitrogen content per leaf dry mass","22.2","mg.g-1","Total amount of N per unit of dry leaf mass - Cornelissen et al. 2003",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Massachusetts","Harvard Forest","public",3790832
"32","Castanea","Castanea dentata","leaf nitrogen content per leaf dry mass","21.1","mg.g-1","Total amount of N per unit of dry leaf mass - Cornelissen et al. 2003",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Pennsylvania","Hawk Mountain Sanctuary","public",3790833
"33","Castanea","Castanea dentata","leaf area","8160","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Massachusetts","Harvard Forest","public",3790834
"34","Castanea","Castanea dentata","leaf area","10630","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Massachusetts","Harvard Forest","public",3790835
"35","Castanea","Castanea dentata","whole plant height","32.3088","m","Maximum height",NA,NA,NA,"http://www.americanforests.org/resources/bigtrees/register.php",NA,NA,"United States",NA,NA,"public",4401386
"36","Castanea","Castanea dentata","whole plant height","26.2128","m","Maximum height",NA,NA,NA,"http://www.americanforests.org/resources/bigtrees/register.php",NA,NA,"United States",NA,NA,"public",4405697
"37","Castanea","Castanea ozarkensis","whole plant height","18.288","m","Maximum height",NA,NA,NA,"http://www.americanforests.org/resources/bigtrees/register.php",NA,NA,"United States",NA,NA,"public",4405703
"38","Castanea","Castanea pumila","whole plant height","16.764","m","Maximum height",NA,NA,NA,"http://www.americanforests.org/resources/bigtrees/register.php",NA,NA,"United States",NA,NA,"public",4409376
"39","Castanea","Castanea dentata","diameter at breast height (1.3 m)","3.75","cm",NA,35.269625797,-82.237227438,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Tryon Mountain","public",8453185
"40","Castanea","Castanea dentata","diameter at breast height (1.3 m)","3.75","cm",NA,38.5897888888889,-78.3676666666667,NA,NA,"Dean Walton",NA,"United States",NA,"Stony Man","public",9856638
"41","Castanea","Castanea dentata","diameter at breast height (1.3 m)","7.5","cm",NA,38.4045555555556,-78.4955888888889,NA,NA,"Dean Walton",NA,"United States",NA,"Entry Run Headwaters","public",10863545
"42","Castanea","Castanea dentata","diameter at breast height (1.3 m)","1.75","cm",NA,38.59275,-78.36745,NA,NA,"Dean Walton",NA,"United States",NA,"Stony Man","public",11062141
"43","Castanea","Castanea dentata","diameter at breast height (1.3 m)","0.5","cm",NA,35.370233331,-83.122883333,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Balsam Mountain Preserve","public",14167489
"44","Castanea","Castanea pumila","diameter at breast height (1.3 m)","1.75","cm",NA,38.1569055555556,-78.7943888888889,NA,NA,"Dean Walton",NA,"United States",NA,"Wildcat Ridge","public",16069650
"45","Castanea","Castanea dentata","diameter at breast height (1.3 m)","0.5","cm",NA,35.4,-82.9,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Pisgah NF - Shinning Rock","public",17575319
"46","Castanea","Castanea dentata","diameter at breast height (1.3 m)","6","cm",NA,41.827,-73.596,NA,NA,"James S. MIller",NA,"United States",NA,NA,"public",356150
"47","Castanea","Castanea dentata","diameter at breast height (1.3 m)","14","cm",NA,41.827,-73.596,NA,NA,"James S. MIller",NA,"United States",NA,NA,"public",1031884
"48","Castanea","Castanea dentata","diameter at breast height (1.3 m)","4.5","cm",NA,39.0333,-77.0333,NA,NA,"James S. MIller",NA,"United States",NA,NA,"public",1410158
"49","Castanea","Castanea dentata","diameter at breast height (1.3 m)","6","cm",NA,41.827,-73.596,NA,NA,"James S. MIller",NA,"United States",NA,NA,"public",1463932
"50","Castanea","Castanea dentata","diameter at breast height (1.3 m)","4","cm",NA,41.827,-73.596,NA,NA,"James S. MIller",NA,"United States",NA,NA,"public",1463933
"51","Castanea","Castanea dentata","diameter at breast height (1.3 m)","2.5","cm",NA,41.827,-73.596,NA,NA,"James S. MIller",NA,"United States",NA,NA,"public",1463934
"52","Castanea","Castanea dentata","whole plant growth form","tree",NA,NA,41.827,-73.596,NA,NA,"James S. MIller",NA,"United States",NA,NA,"public",1792817
"53","Castanea","Castanea dentata","whole plant growth form","tree",NA,NA,41.827,-73.596,NA,NA,"James S. MIller",NA,"United States",NA,NA,"public",1884198
"54","Castanea","Castanea dentata","whole plant growth form","tree",NA,NA,39.0333,-77.0333,NA,NA,"James S. MIller",NA,"United States",NA,NA,"public",1935457
"55","Castanea","Castanea dentata","whole plant growth form","tree",NA,NA,41.827,-73.596,NA,NA,"James S. MIller",NA,"United States",NA,NA,"public",1943064
"56","Castanea","Castanea dentata","whole plant growth form","tree",NA,NA,41.827,-73.596,NA,NA,"James S. MIller",NA,"United States",NA,NA,"public",1943065
"57","Castanea","Castanea dentata","whole plant growth form","tree",NA,NA,41.827,-73.596,NA,NA,"James S. MIller",NA,"United States",NA,NA,"public",1943066
"58","Castanea","Castanea dentata","leaf area per leaf dry mass","17.241","m2.kg-1",NA,42.53,-72.18,340,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Massachusetts",NA,"public",4289821
"59","Castanea","Castanea dentata","leaf photosynthetic rate per leaf area","12.6","Âµmol.m-2.s-1",NA,42.53,-72.18,340,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Massachusetts",NA,"public",4289822
"60","Castanea","Castanea dentata","leaf nitrogen content per leaf area","0.0015","kg.m-2",NA,42.53,-72.18,340,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Massachusetts",NA,"public",4289823
"61","Castanea","Castanea dentata","leaf nitrogen content per leaf dry mass","25.862","mg.g-1",NA,42.53,-72.18,340,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Massachusetts",NA,"public",4289824
"62","Castanea","Castanea dentata","leaf photosynthetic rate per leaf dry mass","0.217","Âµmol.g-1.s-1",NA,42.53,-72.18,340,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Massachusetts",NA,"public",4289825
"63","Castanea","Castanea dentata","leaf carbon content per leaf nitrogen content","16.517",NA,NA,42.53,-72.18,340,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Massachusetts",NA,"public",4289826
"64","Castanea","Castanea pumila","diameter at breast height (1.3 m)","15.494","cm",NA,30.36,-94.44,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",4731659
"65","Castanea","Castanea pumila","diameter at breast height (1.3 m)","17.272","cm",NA,30.64,-94.69,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",4746739
"66","Castanea","Castanea pumila","diameter at breast height (1.3 m)","8.89","cm",NA,30.5,-94.58,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",4748129
"67","Castanea","Castanea pumila","diameter at breast height (1.3 m)","12.7","cm",NA,30.36,-94.44,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",4752905
"68","Castanea","Castanea pumila","diameter at breast height (1.3 m)","9.652","cm",NA,30.5,-94.58,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",4755870
"69","Castanea","Castanea pumila","diameter at breast height (1.3 m)","13.97","cm",NA,30.64,-94.44,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",4863981
"70","Castanea","Castanea pumila","diameter at breast height (1.3 m)","10.414","cm",NA,30.11,-95.36,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",4870884
"71","Castanea","Castanea pumila","diameter at breast height (1.3 m)","8.636","cm",NA,32.81,-94.53,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",4876776
"72","Castanea","Castanea pumila","diameter at breast height (1.3 m)","10.16","cm",NA,30.11,-95.36,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",4897308
"73","Castanea","Castanea pumila","diameter at breast height (1.3 m)","14.732","cm",NA,32.81,-94.53,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",4897969
"74","Castanea","Castanea dentata","diameter at breast height (1.3 m)","3.75","cm",NA,38.1374555555556,-78.8049166666667,NA,NA,"Dean Walton",NA,"United States",NA,"Turk Run Gap","public",4966602
"75","Castanea","Castanea dentata","diameter at breast height (1.3 m)","0.5","cm",NA,35.370582848,-82.843416546,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Pisgah NF - Shinning Rock","public",5143687
"76","Castanea","Castanea dentata","diameter at breast height (1.3 m)","0.5","cm",NA,35.094321823,-83.34451036,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Nantahala NF - Cedar Cliff/The Pinnacle","public",5143688
"77","Castanea","Castanea dentata","diameter at breast height (1.3 m)","3.75","cm",NA,35.022576824,-83.47976465,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Nantahala NF - Little Lodgepole Mountain","public",5143689
"78","Castanea","Castanea dentata","diameter at breast height (1.3 m)","0.5","cm",NA,35.4,-83.1,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Balsam Mountain Preserve","public",5144684
"79","Castanea","Castanea dentata","diameter at breast height (1.3 m)","3.556","cm",NA,36,-91.97,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",5153447
"80","Castanea","Castanea dentata","diameter at breast height (1.3 m)","2.54","cm",NA,42.58342,-71.44395,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",5179369
"81","Castanea","Castanea dentata","diameter at breast height (1.3 m)","3.75","cm",NA,38.2652555555556,-78.6709055555556,NA,NA,"Dean Walton",NA,"United States",NA,"Patterson Ridge Trail","public",5194737
"82","Castanea","Castanea dentata","diameter at breast height (1.3 m)","7.112","cm",NA,35.92,-75.69,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",5200424
"83","Castanea","Castanea dentata","diameter at breast height (1.3 m)","7.112","cm",NA,35.92,-75.69,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",5200439
"84","Castanea","Castanea dentata","diameter at breast height (1.3 m)","3.81","cm",NA,35.548316,-81.556565,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",5204244
"85","Castanea","Castanea dentata","diameter at breast height (1.3 m)","3.556","cm",NA,40.975926,-74.564419,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",5205257
"86","Castanea","Castanea dentata","diameter at breast height (1.3 m)","2.54","cm",NA,41.57442,-79.56004,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",5211636
"87","Castanea","Castanea dentata","diameter at breast height (1.3 m)","12.954","cm",NA,39.91869,-78.05981,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",5211685
"88","Castanea","Castanea dentata","diameter at breast height (1.3 m)","5.842","cm",NA,35.58,-84.03,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",5219737
"89","Castanea","Castanea dentata","diameter at breast height (1.3 m)","8.636","cm",NA,38.5,-79.67,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",5229328
"90","Castanea","Castanea dentata","diameter at breast height (1.3 m)","3.81","cm",NA,38.78,-78.53,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",5229379
"91","Castanea","Castanea dentata","diameter at breast height (1.3 m)","3.556","cm",NA,37,-81.14,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",5230998
"92","Castanea","Castanea dentata","diameter at breast height (1.3 m)","4.572","cm",NA,37.244934,-80.857832,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",5231685
"93","Castanea","Castanea dentata","diameter at breast height (1.3 m)","14.478","cm",NA,38.994537,-78.651809,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",5240208
"94","Castanea","Castanea dentata","diameter at breast height (1.3 m)","3.75","cm",NA,35.373776805,-83.956194742,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Joyce Kilmer - Slick Rock Wilderness Area","public",5241433
"95","Castanea","Castanea dentata","diameter at breast height (1.3 m)","0.5","cm",NA,35.70731662,-82.401963924,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Pisgah NF - South Fork Ravine","public",5241442
"96","Castanea","Castanea dentata","diameter at breast height (1.3 m)","1.75","cm",NA,35.460423514,-83.973242618,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Joyce Kilmer - Slick Rock Wilderness Area","public",5241443
"97","Castanea","Castanea dentata","diameter at breast height (1.3 m)","0.5","cm",NA,35.003280275,-83.101031684,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Ellicott Rock Wilderness Area","public",5241446
"98","Castanea","Castanea dentata","diameter at breast height (1.3 m)","1.75","cm",NA,35.2,-83.2,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Nantahala NF - Kirby Knob","public",5241447
"99","Castanea","Castanea dentata","diameter at breast height (1.3 m)","12.5","cm",NA,36.40587263,-81.466097437,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Mount Jefferson State Park","public",5241448
"100","Castanea","Castanea dentata","diameter at breast height (1.3 m)","22.5","cm",NA,35.095897,-82.899895997,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Gorges SP - Frozen Creek Road","public",5241449
"101","Castanea","Castanea dentata","diameter at breast height (1.3 m)","3.75","cm",NA,36.38694952,-80.28134808,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Hanging Rock State Park","public",5241450
"102","Castanea","Castanea pumila","diameter at breast height (1.3 m)","1.75","cm",NA,35.832739323,-81.900096061,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Pisgah NF - Linville Gorge","public",5241451
"103","Castanea","Castanea pumila","diameter at breast height (1.3 m)","3.75","cm",NA,35.005077347,-83.090402286,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Ellicott Rock Wilderness Area","public",5241452
"104","Castanea","Castanea pumila","diameter at breast height (1.3 m)","0.5","cm",NA,35.09850924,-82.954148461,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Gorges SP - Grassy Ridge","public",5241453
"105","Castanea","Castanea dentata","diameter at breast height (1.3 m)","3.75","cm",NA,38.5637166666667,-78.3794,NA,NA,"Dean Walton",NA,"United States",NA,"Crescent Rock","public",5242025
"106","Castanea","Castanea dentata","diameter at breast height (1.3 m)","4.572","cm",NA,34.53,-85.61,NA,NA,"Greg Reams",NA,"United States",NA,NA,"public",5246197
