"","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Celastrus",NA,"diameter at breast height (1.3 m)","2.5","cm",NA,19.679,-100,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",235290
"2","Celastrus",NA,"diameter at breast height (1.3 m)","3","cm",NA,19.5,-96.95,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",1207353
"3","Celastrus","Celastrus vulcanicola","diameter at breast height (1.3 m)","4","cm",NA,17.5931,-96.4764,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1679508
"4","Celastrus","Celastrus vulcanicola","whole plant growth form","liana",NA,NA,17.5931,-96.4764,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1794538
"5","Celastrus","Celastrus scandens","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3115980
"6","Celastrus","Celastrus scandens","plant flowering begin","6/26/1953","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3238740
"7","Celastrus","Celastrus scandens","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3259877
"8","Celastrus","Celastrus scandens","plant flowering begin","6/12/1961","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3789925
"9","Celastrus","Celastrus vulcanicola","diameter at breast height (1.3 m)","7.69","cm",NA,10.1686,-84.1133,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",33429
"10","Celastrus","Celastrus vulcanicola","diameter at breast height (1.3 m)","2.7","cm",NA,17.5931,-96.4764,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",59939
"11","Celastrus","Celastrus vulcanicola","diameter at breast height (1.3 m)","3.09","cm",NA,10.1825,-84.1069,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",141679
"12","Celastrus","Celastrus vulcanicola","diameter at breast height (1.3 m)","3.09","cm",NA,17.5711,-96.3589,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",141771
"13","Celastrus","Celastrus vulcanicola","diameter at breast height (1.3 m)","5.4","cm",NA,17.5931,-96.4764,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",154909
"14","Celastrus","Celastrus vulcanicola","diameter at breast height (1.3 m)","2.7","cm",NA,17.5931,-96.4764,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",168220
"15","Celastrus","Celastrus vulcanicola","diameter at breast height (1.3 m)","3","cm",NA,17.5711,-96.3589,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",195556
"16","Celastrus",NA,"diameter at breast height (1.3 m)","2.5","cm",NA,19.5,-96.95,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",208945
"17","Celastrus",NA,"diameter at breast height (1.3 m)","4","cm",NA,19.5,-96.95,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",208946
"18","Celastrus","Celastrus vulcanicola","diameter at breast height (1.3 m)","3.5","cm",NA,17.5931,-96.4764,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",208732
"19","Celastrus","Celastrus vulcanicola","diameter at breast height (1.3 m)","5","cm",NA,17.5931,-96.4764,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",262773
"20","Celastrus","Celastrus vulcanicola","diameter at breast height (1.3 m)","4.3","cm",NA,17.5931,-96.4764,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",262775
"21","Celastrus",NA,"diameter at breast height (1.3 m)","3","cm",NA,19.5,-96.95,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",274634
"22","Celastrus",NA,"diameter at breast height (1.3 m)","2.5","cm",NA,19.5,-96.95,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",274637
"23","Celastrus","Celastrus vulcanicola","diameter at breast height (1.3 m)","3.09","cm",NA,17.5931,-96.4764,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",289217
"24","Celastrus","Celastrus vulcanicola","diameter at breast height (1.3 m)","2.9","cm",NA,17.5931,-96.4764,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",289219
