"","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Dodonaea","Dodonaea viscosa","whole plant growth form","shrub",NA,NA,NA,NA,NA,"http://s3.amazonaws.com/academia.edu.documents/40150164/Ex.Primary.Lit_Native_Vs_Invasive.pdf?AWSAccessKeyId=AKIAIWOWYYGZ2Y53UL3A&Expires=1489806584&Signature=etgkTfEGtEAnaMeaKOJif36Y9ng%3D&response-content-disposition=inline%3B%20filename%3DLeaf_construction_cost_nutrient_concentr.pdf","Baruch Z",NA,"United States","Hawaii",NA,"public",3842610
"2","Dodonaea","Dodonaea viscosa","whole plant height","6.7056","m","Maximum height",NA,NA,NA,"http://www.americanforests.org/resources/bigtrees/register.php",NA,NA,"United States",NA,NA,"public",4430629
"3","Dodonaea","Dodonaea viscosa","leaf stomatal conductance for H2O per leaf area","135.587336","mol.H2O.m-2.s-1",NA,18.25,-97.43,558,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","Mexico","Puebla",NA,"public",4297208
"4","Dodonaea","Dodonaea viscosa","leaf nitrogen content per leaf area","0.00212680962","kg.m-2",NA,18.25,-97.43,558,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","Mexico","Puebla",NA,"public",4297209
"5","Dodonaea","Dodonaea viscosa","leaf nitrogen content per leaf dry mass","19.078552","mg.g-1",NA,18.25,-97.43,558,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","Mexico","Puebla",NA,"public",4297210
"6","Dodonaea","Dodonaea viscosa","leaf area per leaf dry mass","8.970503","m2.kg-1",NA,18.25,-97.43,558,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","Mexico","Puebla",NA,"public",4297211
"7","Dodonaea","Dodonaea viscosa","leaf area per leaf dry mass","9.31966449","m2.kg-1",NA,19.789,-155.85,728,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Hawaii",NA,"public",4297212
"8","Dodonaea","Dodonaea viscosa","leaf photosynthetic rate per leaf area","9.2815802","Âµmol.m-2.s-1",NA,18.25,-97.43,558,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","Mexico","Puebla",NA,"public",4297213
"9","Dodonaea","Dodonaea viscosa","leaf photosynthetic rate per leaf area","11.6","Âµmol.m-2.s-1",NA,19.789,-155.85,728,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Hawaii",NA,"public",4297214
"10","Dodonaea","Dodonaea viscosa","leaf photosynthetic rate per leaf dry mass","0.0832604431","Âµmol.g-1.s-1",NA,18.25,-97.43,558,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","Mexico","Puebla",NA,"public",4297215
"11","Dodonaea","Dodonaea viscosa","leaf photosynthetic rate per leaf dry mass","0.108108108","Âµmol.g-1.s-1",NA,19.789,-155.85,728,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Hawaii",NA,"public",4297216
"12","Dodonaea","Dodonaea viscosa","leaf carbon content per leaf nitrogen content","10.906",NA,NA,18.25,-97.43,558,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","Mexico","Puebla",NA,"public",4297217
"13","Dodonaea","Dodonaea viscosa","leaf carbon content per leaf nitrogen content","16.427",NA,NA,19.789,-155.85,728,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Hawaii",NA,"public",4297218
