"","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Eriogonum",NA,"leaf carbon content per leaf nitrogen content","14.2032787",NA,NA,NA,NA,1750,"http://datadryad.org/resource/doi:10.5061/dryad.q2n8p","Stevens JT","jtstevens@ucdavis.edu","United States","California",NA,"public",3108473
"2","Eriogonum","Eriogonum inflatum","seed mass","0.903","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",3148074
"3","Eriogonum","Eriogonum marifolium","seed mass","0.655","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",3148403
"4","Eriogonum","Eriogonum flavum","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3154760
"5","Eriogonum","Eriogonum flavum","plant flowering begin","6/23/1911","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3154736
"6","Eriogonum","Eriogonum umbellatum","leaf carbon content per leaf dry mass","456.883654","mg.g-1","carbon concentration of oven-dried (70ÃÂ°C for 72 hours) tissue",38.89702,-106.9792,2815,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","United States","Colorado","Approximately 1 mile north on Washington Gulch Road from Rte 135 north of Crested Butte CO.","public",3174664
"7","Eriogonum","Eriogonum umbellatum","leaf carbon content per leaf nitrogen content","14.7952218",NA,NA,NA,NA,1750,"http://datadryad.org/resource/doi:10.5061/dryad.q2n8p","Stevens JT","jtstevens@ucdavis.edu","United States","California",NA,"public",3175961
"8","Eriogonum","Eriogonum umbellatum","leaf area per leaf dry mass","0.144368864","m2.kg-1",NA,NA,NA,1750,"http://datadryad.org/resource/doi:10.5061/dryad.q2n8p","Stevens JT","jtstevens@ucdavis.edu","United States","California",NA,"public",3223092
"9","Eriogonum","Eriogonum polycladon","whole plant growth form","herb",NA,NA,NA,NA,NA,"http://www.jstor.org.ezproxy4.library.arizona.edu/stable/pdf/40021924.pdf","Whittaker RH",NA,"United States","Arizona","Santa Clarita Mountains","public",3845277
"10","Eriogonum",NA,"whole plant growth form","herb",NA,NA,NA,NA,NA,"http://onlinelibrary.wiley.com.ezproxy2.library.arizona.edu/doi/10.2307/1943563/epdf","Whittaker RH",NA,"United States",NA,"Siskiyou Mountains","public",3849355
