"","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Hedyosmum","Hedyosmum mexicanum","diameter at breast height (1.3 m)","3.9","cm",NA,17.5778,-96.3333,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",59973
"2","Hedyosmum","Hedyosmum mexicanum","diameter at breast height (1.3 m)","6.69","cm",NA,17.487,-96.373,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",59975
"3","Hedyosmum","Hedyosmum mexicanum","diameter at breast height (1.3 m)","6.8","cm",NA,17.5778,-96.3333,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",73233
"4","Hedyosmum","Hedyosmum goudotianum","diameter at breast height (1.3 m)","14.5","cm",NA,10.1836,-84.1072,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",195468
"5","Hedyosmum","Hedyosmum goudotianum","diameter at breast height (1.3 m)","2.7","cm",NA,10.1836,-84.1072,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",235068
"6","Hedyosmum","Hedyosmum goudotianum","diameter at breast height (1.3 m)","2.7","cm",NA,10.1825,-84.1069,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",316473
"7","Hedyosmum","Hedyosmum mexicanum","diameter at breast height (1.3 m)","7","cm",NA,17.5778,-96.3333,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",397170
"8","Hedyosmum","Hedyosmum bonplandianum","diameter at breast height (1.3 m)","4.19","cm",NA,10.3328,-84.0789,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",451340
"9","Hedyosmum","Hedyosmum mexicanum","diameter at breast height (1.3 m)","4.69","cm",NA,10.1686,-84.1133,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",465254
"10","Hedyosmum","Hedyosmum costaricense","diameter at breast height (1.3 m)","4.5","cm",NA,10.2,-84.1,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",465334
"11","Hedyosmum","Hedyosmum mexicanum","diameter at breast height (1.3 m)","4.5","cm",NA,17.5778,-96.3333,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",532280
"12","Hedyosmum","Hedyosmum goudotianum","diameter at breast height (1.3 m)","9.5","cm",NA,10.1836,-84.1072,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",545596
"13","Hedyosmum","Hedyosmum goudotianum","diameter at breast height (1.3 m)","13","cm",NA,10.1836,-84.1072,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",545597
"14","Hedyosmum","Hedyosmum mexicanum","diameter at breast height (1.3 m)","5.9","cm",NA,17.5778,-96.3333,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",545675
"15","Hedyosmum","Hedyosmum goudotianum","diameter at breast height (1.3 m)","2.9","cm",NA,10.1686,-84.1133,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",559048
"16","Hedyosmum","Hedyosmum mexicanum","diameter at breast height (1.3 m)","7","cm",NA,17.5778,-96.3333,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",572845
"17","Hedyosmum","Hedyosmum goudotianum","diameter at breast height (1.3 m)","3.59","cm",NA,10.1825,-84.1069,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",612787
"18","Hedyosmum","Hedyosmum goudotianum","diameter at breast height (1.3 m)","3","cm",NA,10.1836,-84.1072,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",653343
"19","Hedyosmum","Hedyosmum goudotianum","diameter at breast height (1.3 m)","2.5","cm",NA,10.1686,-84.1133,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",653354
"20","Hedyosmum","Hedyosmum goudotianum","diameter at breast height (1.3 m)","5.8","cm",NA,10.1686,-84.1133,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",748126
"21","Hedyosmum","Hedyosmum goudotianum","diameter at breast height (1.3 m)","3.2","cm",NA,10.1686,-84.1133,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",774451
"22","Hedyosmum","Hedyosmum costaricense","diameter at breast height (1.3 m)","8.1","cm",NA,10.2772,-84.0825,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",774453
