"","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Inga","Inga densiflora","leaf carbon content per leaf dry mass","504.0933","mg.g-1","carbon concentration of oven-dried (70ÃÂ°C for 72 hours) tissue",10.95428,-85.49187,685,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","Costa Rica","Guanacaste","Area de Concervacion Guanacaste","public",13408
"2","Inga","Inga skutchii","leaf area","11670.5","mm2","LICOR-3100 area meter",8.677521,-83.5726,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",13746
"3","Inga","Inga spectabilis","leaf fresh mass","17.65","g","Radwag WTB 200 Precision Balance",8.677749,-83.5041,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",14233
"4","Inga","Inga spectabilis","leaf nitrogen content per leaf dry mass","26.6","mg.g-1","Dry combustion Autoanalyzer following SC09-LSF-P06",8.665114,-83.5074,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",15226
"5","Inga",NA,"diameter at breast height (1.3 m)","3.4","cm",NA,10.2131,-84.1014,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",532247
"6","Inga","Inga longispica","diameter at breast height (1.3 m)","15","cm",NA,10.2108,-84.1125,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",653358
"7","Inga",NA,"diameter at breast height (1.3 m)","3","cm",NA,17.6208,-96.3667,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1043533
"8","Inga",NA,"diameter at breast height (1.3 m)","14","cm",NA,8.5,-83.607,NA,NA,"James S. MIller",NA,"Costa Rica",NA,NA,"public",1637991
"9","Inga",NA,"diameter at breast height (1.3 m)","11.89","cm",NA,17.487,-96.373,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1693061
"10","Inga","Inga thibaudiana","whole plant growth form","tree",NA,NA,10.4143,-84.1045,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",1766865
"11","Inga","Inga thibaudiana","whole plant growth form","tree",NA,NA,10.4334,-84.0334,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",1794305
"12","Inga","Inga sertulifera","whole plant growth form","tree",NA,NA,10.4426,-84.0656,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",1798046
"13","Inga","Inga alba","whole plant growth form","tree",NA,NA,10.4115,-84.0314,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",1803732
