"","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Iva","Iva axillaris","plant flowering begin","6/1/1956","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15437
"2","Iva","Iva axillaris","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3259237
"3","Iva","Iva ambrosiifolia","whole plant growth form","herb",NA,NA,NA,NA,NA,"http://www.jstor.org.ezproxy4.library.arizona.edu/stable/pdf/40021924.pdf","Whittaker RH",NA,"United States","Arizona","Santa Clarita Mountains","public",3845316
"4","Iva","Iva axillaris","seed mass","1.34","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4431703
"5","Iva","Iva axillaris","seed mass","2.8","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4431715
"6","Iva","Iva frutescens","diameter at breast height (1.3 m)","0.5","cm",NA,35.40883479,-75.49314366,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Cape Hatteras NS - Avon; between shore and Little Wicomico LifeSaving Station.  See Diagram.","public",6045746
"7","Iva","Iva frutescens","diameter at breast height (1.3 m)","1.75","cm",NA,34.799528478,-76.495518535,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Broad Creek Marsh; See map","public",8756152
"8","Iva","Iva frutescens","diameter at breast height (1.3 m)","0.5","cm",NA,32.861196166,-79.767659754,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Buzzard Island","public",9053605
"9","Iva","Iva frutescens","diameter at breast height (1.3 m)","1.75","cm",NA,32.302661765,-80.83806054,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Spring Island","public",9757352
"10","Iva","Iva frutescens","diameter at breast height (1.3 m)","0.5","cm",NA,33.078805022,-79.355782211,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Santee Coastal WMA - Murphy Island/Alligator Creek","public",10462460
"11","Iva","Iva frutescens","diameter at breast height (1.3 m)","17.5","cm",NA,34.799528478,-76.495518535,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Broad Creek Marsh; See map","public",11161516
"12","Iva","Iva frutescens","diameter at breast height (1.3 m)","0.5","cm",NA,33.8578398,-78.53593571,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Bird Island; chosen to represent upper marsh at fringe of upland shrub thicket","public",11163789
"13","Iva","Iva frutescens","diameter at breast height (1.3 m)","0.5","cm",NA,34.744204284,-76.427723006,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Cape Lookout National Seashore; See map on field sheet","public",11164723
"14","Iva","Iva frutescens","diameter at breast height (1.3 m)","0.5","cm",NA,32.861613968,-79.767953216,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Buzzard Island","public",11562720
"15","Iva","Iva frutescens","diameter at breast height (1.3 m)","0.5","cm",NA,32.863016767,-79.763861903,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Auld Island","public",11562721
"16","Iva","Iva frutescens","diameter at breast height (1.3 m)","1.75","cm",NA,32.861196166,-79.767659754,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Buzzard Island","public",12364364
"17","Iva","Iva imbricata","diameter at breast height (1.3 m)","0.5","cm",NA,34.691312058,-76.876494679,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Bogue Banks","public",12962778
"18","Iva","Iva frutescens","diameter at breast height (1.3 m)","0.5","cm",NA,32.302661765,-80.83806054,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Spring Island","public",13566445
"19","Iva","Iva frutescens","diameter at breast height (1.3 m)","0.5","cm",NA,32.3,-80.8,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Spring Island","public",15269547
"20","Iva","Iva frutescens","diameter at breast height (1.3 m)","0.5","cm",NA,35.9900998,-75.67311376,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Nags Head Woods; From end of Roanoke Trail; turn right along waterfront by benches, then back into Spartina marsh.  Plot is in a depression.  See diagram.","public",16670818
"21","Iva","Iva frutescens","diameter at breast height (1.3 m)","0.5","cm",NA,34.760894903,-76.413773983,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Core Banks - South; see map on field datasheet","public",17775958
