"","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Mandevilla","Mandevilla hirsuta","diameter at breast height (1.3 m)","0.6","cm",NA,10.3615,-83.9928,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",47875
"2","Mandevilla","Mandevilla hirsuta","diameter at breast height (1.3 m)","0.6","cm",NA,10.4015,-84.112,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",196883
"3","Mandevilla","Mandevilla hirsuta","diameter at breast height (1.3 m)","0.9","cm",NA,10.4263,-83.9958,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",317859
"4","Mandevilla","Mandevilla hirsuta","diameter at breast height (1.3 m)","0.9","cm",NA,10.4015,-84.112,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",385010
"5","Mandevilla","Mandevilla hirsuta","diameter at breast height (1.3 m)","0.5","cm",NA,10.3615,-83.9928,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",775665
"6","Mandevilla","Mandevilla hirsuta","diameter at breast height (1.3 m)","0.5","cm",NA,10.3615,-83.9928,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",1019513
"7","Mandevilla","Mandevilla hirsuta","diameter at breast height (1.3 m)","0.5","cm",NA,10.3615,-83.9928,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",1032941
"8","Mandevilla","Mandevilla hirsuta","diameter at breast height (1.3 m)","0.5","cm",NA,10.4412,-84.0253,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",1100502
"9","Mandevilla","Mandevilla hirsuta","diameter at breast height (1.3 m)","0.5","cm",NA,10.3615,-83.9928,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",1505673
"10","Mandevilla","Mandevilla hirsuta","whole plant growth form","liana",NA,NA,10.3615,-83.9928,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",1752522
"11","Mandevilla","Mandevilla hirsuta","whole plant growth form","liana",NA,NA,10.3615,-83.9928,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",1752523
"12","Mandevilla","Mandevilla hirsuta","whole plant growth form","liana",NA,NA,10.4015,-84.112,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",1772261
"13","Mandevilla","Mandevilla hirsuta","whole plant growth form","liana",NA,NA,10.4015,-84.112,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",1772262
"14","Mandevilla","Mandevilla hirsuta","whole plant growth form","liana",NA,NA,10.4263,-83.9958,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",1788805
"15","Mandevilla","Mandevilla hirsuta","whole plant growth form","liana",NA,NA,10.4263,-83.9958,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",1788806
"16","Mandevilla","Mandevilla hirsuta","whole plant growth form","liana",NA,NA,10.4015,-84.112,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",1798060
"17","Mandevilla","Mandevilla hirsuta","whole plant growth form","liana",NA,NA,10.4015,-84.112,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",1798061
