"","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Pedicularis","Pedicularis canadensis","whole plant height","0.4","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",3117163
"2","Pedicularis","Pedicularis canadensis","plant flowering begin","5/23/1945","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3171419
"3","Pedicularis","Pedicularis canadensis","plant flowering begin","5/25/1929","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3171424
"4","Pedicularis","Pedicularis canadensis","plant flowering begin","6/2/1942","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3171427
"5","Pedicularis","Pedicularis canadensis","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3209630
"6","Pedicularis","Pedicularis canadensis","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3209653
"7","Pedicularis","Pedicularis canadensis","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3485122
"8","Pedicularis","Pedicularis canadensis","whole plant growth form","herb",NA,NA,NA,NA,NA,"http://www.geobotany.org/library/pubs/WhittakerRH1956_ecomon_1-80.pdf","Whittaker RH",NA,"United States",NA,NA,"public",3843031
"9","Pedicularis","Pedicularis lanata","whole plant growth form","forb",NA,NA,NA,NA,NA,"http://www.jstor.org.ezproxy2.library.arizona.edu/stable/pdf/3544063.pdf","MacLean SF",NA,"United States","Alaska",NA,"public",3843977
"10","Pedicularis","Pedicularis lanata","whole plant growth form","forb",NA,NA,NA,NA,NA,"http://ac.els-cdn.com.ezproxy3.library.arizona.edu/0305197879900516/1-s2.0-0305197879900516-main.pdf?_tid=9dfc0d4c-17f2-11e7-bc41-00000aab0f02&acdnat=1491171825_910a0764c345f0cdf370af496d1f9334","Jung HJG",NA,"United States","Alaska",NA,"public",3845449
"11","Pedicularis","Pedicularis langsdorffii","whole plant growth form","forb",NA,NA,NA,NA,NA,"http://ac.els-cdn.com.ezproxy3.library.arizona.edu/0305197879900516/1-s2.0-0305197879900516-main.pdf?_tid=9dfc0d4c-17f2-11e7-bc41-00000aab0f02&acdnat=1491171825_910a0764c345f0cdf370af496d1f9334","Jung HJG",NA,"United States","Alaska",NA,"public",3845451
"12","Pedicularis","Pedicularis groenlandica","seed mass","0.54","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4405050
"13","Pedicularis","Pedicularis groenlandica","seed mass","0.296","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4405401
"14","Pedicularis","Pedicularis densiflora","seed mass","0.7","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4405407
"15","Pedicularis","Pedicularis attollens","seed mass","0.555","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4405413
