"","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Protium","Protium pecuniosum","leaf area","109929.4","mm2","LICOR-3100 area meter",8.721529,-83.5728,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",14767
"2","Protium",NA,"diameter at breast height (1.3 m)","9.8","cm",NA,10.2972,-84.0736,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",235098
"3","Protium",NA,"diameter at breast height (1.3 m)","4","cm",NA,8.7,-83.55,NA,NA,"James S. MIller",NA,"Costa Rica",NA,NA,"public",1288831
"4","Protium",NA,"whole plant growth form","tree",NA,NA,10.4,-84.05,NA,NA,"James S. MIller",NA,"Costa Rica",NA,NA,"public",1878739
"5","Protium",NA,"whole plant growth form","tree",NA,NA,8.7,-83.55,NA,NA,"James S. MIller",NA,"Costa Rica",NA,NA,"public",1919102
"6","Protium","Protium panamense","leaf thickness","0.4","mm","Mitutoyo 7321 dial thickness gauge",8.680439,-83.5762,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3104299
"7","Protium","Protium panamense","leaf area per leaf dry mass","10.775","m2.kg-1","LAcm2/(LDMmg*1g/1000mg)",8.665894,-83.5655,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3108747
"8","Protium","Protium panamense","leaf dry mass","9.385","g","Radwag WTB 200 Precision Balance",8.703144,-83.5295,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3114080
"9","Protium","Protium panamense","leaf fresh mass","8.12","g","Radwag WTB 200 Precision Balance",8.699976,-83.2139,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3114412
"10","Protium","Protium panamense","seed mass","63.969","mg","Mean seed dry mass, measured with a digital scale after drying at 60 C, where seed is defined to include the endosperm and embryo only.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.69ph0","Kraft TS","thomas.s.kraft@dartmouth.edu","Panama",NA,NA,"public",3115908
"11","Protium","Protium pittieri","diameter at breast height (1.3 m)","15.2","cm",NA,NA,NA,120,"http://datadryad.org/resource/doi:10.5061/dryad.sv181","Plourde BT","btplourde@ucdavis.edu","Costa Rica","Heredia",NA,"public",3120739
"12","Protium","Protium pittieri","diameter at breast height (1.3 m)","14.5","cm",NA,NA,NA,120,"http://datadryad.org/resource/doi:10.5061/dryad.sv181","Plourde BT","btplourde@ucdavis.edu","Costa Rica","Heredia",NA,"public",3120741
"13","Protium","Protium pecuniosum","leaf area","72464.2","mm2","LICOR-3100 area meter",8.706699,-83.5145,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3124093
"14","Protium","Protium pecuniosum","leaf dry mass","17.116","g","Radwag WTB 200 Precision Balance",8.680439,-83.5762,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3124325
"15","Protium","Protium confusum","diameter at breast height (1.3 m)","10.8","cm",NA,NA,NA,120,"http://datadryad.org/resource/doi:10.5061/dryad.sv181","Plourde BT","btplourde@ucdavis.edu","Costa Rica","Heredia",NA,"public",3125228
"16","Protium","Protium tenuifolium","seed mass","98.637","mg","Mean seed dry mass, measured with a digital scale after drying at 60 C, where seed is defined to include the endosperm and embryo only.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.69ph0","Kraft TS","thomas.s.kraft@dartmouth.edu","Panama",NA,NA,"public",3125233
"17","Protium","Protium panamense","leaf area per leaf dry mass","12.186","m2.kg-1","LAcm2/(LDMmg*1g/1000mg)",8.699976,-83.2139,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3165164
"18","Protium","Protium panamense","leaf dry mass per leaf fresh mass","453.592","mg.g-1","LDMmg/LFMg",8.706607,-83.5248,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3161402
"19","Protium","Protium pecuniosum","leaf thickness","0.2","mm","Mitutoyo 7321 dial thickness gauge",8.680389,-83.5772,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3161959
"20","Protium","Protium pecuniosum","leaf fresh mass","34.475","g","Radwag WTB 200 Precision Balance",8.665894,-83.5655,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3169896
"21","Protium","Protium glabrum","leaf area per leaf dry mass","16.693","m2.kg-1","LAcm2/(LDMmg*1g/1000mg)",8.703296,-83.5181,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3177240
"22","Protium","Protium glabrum","leaf thickness","0.17","mm","Mitutoyo 7321 dial thickness gauge",8.703296,-83.5181,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3169482
