"","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Rhododendron",NA,"leaf area","1480","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Connecticut","Cockaponset State Forest","public",3108857
"2","Rhododendron","Rhododendron maximum","whole plant height","11.2776","m","Maximum height",NA,NA,NA,"http://www.americanforests.org/resources/bigtrees/register.php",NA,NA,"United States",NA,NA,"public",3148014
"3","Rhododendron","Rhododendron catawbiense","whole plant height","4.572","m","Maximum height",NA,NA,NA,"http://www.americanforests.org/resources/bigtrees/register.php",NA,NA,"United States",NA,NA,"public",3148807
"4","Rhododendron","Rhododendron maximum","leaf area","2370","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Pennsylvania","Hawk Mountain Sanctuary","public",3170878
"5","Rhododendron",NA,"leaf area per leaf dry mass","8.936550492","m2.kg-1","leaf dry area calculated with photpographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Connecticut","Cockaponset State Forest","public",3178547
"6","Rhododendron",NA,"leaf area","1290","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Connecticut","Cockaponset State Forest","public",3178576
"7","Rhododendron",NA,"leaf area per leaf dry mass","10.74113856","m2.kg-1","leaf dry area calculated with photpographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Connecticut","Cockaponset State Forest","public",3178653
"8","Rhododendron",NA,"leaf area per leaf dry mass","9.04159132","m2.kg-1","leaf dry area calculated with photpographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Connecticut","Cockaponset State Forest","public",3178681
"9","Rhododendron","Rhododendron maximum","leaf dry mass","0.5","g","actual measurement",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Pennsylvania","Hawk Mountain Sanctuary","public",3178690
"10","Rhododendron","Rhododendron maximum","leaf area","1470","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Pennsylvania","Hawk Mountain Sanctuary","public",3178691
"11","Rhododendron","Rhododendron periclymenoides","leaf dry mass","0.19","g","actual measurement",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Connecticut","Cockaponset State Forest","public",3178696
"12","Rhododendron","Rhododendron periclymenoides","leaf area","1320","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Connecticut","Cockaponset State Forest","public",3178697
"13","Rhododendron","Rhododendron periclymenoides","leaf dry mass","0.18","g","actual measurement",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Connecticut","Cockaponset State Forest","public",3178698
"14","Rhododendron","Rhododendron periclymenoides","leaf area","1320","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Connecticut","Cockaponset State Forest","public",3178699
"15","Rhododendron","Rhododendron periclymenoides","leaf area per leaf dry mass","7.132667618","m2.kg-1","leaf dry area calculated with photpographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Connecticut","Cockaponset State Forest","public",3178700
"16","Rhododendron","Rhododendron periclymenoides","leaf area","680","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Pennsylvania",NA,"public",3178701
"17","Rhododendron","Rhododendron periclymenoides","leaf area per leaf dry mass","7.032348805","m2.kg-1","leaf dry area calculated with photpographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Connecticut","Cockaponset State Forest","public",3178702
"18","Rhododendron","Rhododendron prinophyllum","leaf area per leaf dry mass","19.72386588","m2.kg-1","leaf dry area calculated with photpographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Massachusetts","Harvard Forest","public",3178706
"19","Rhododendron","Rhododendron prinophyllum","leaf dry mass","0.04","g","actual measurement",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Massachusetts","Harvard Forest","public",3178707
"20","Rhododendron","Rhododendron prinophyllum","leaf area per leaf dry mass","27.17391304","m2.kg-1","leaf dry area calculated with photpographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Massachusetts","Harvard Forest","public",3178708
"21","Rhododendron","Rhododendron prinophyllum","leaf dry mass","0.03","g","actual measurement",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Massachusetts","Harvard Forest","public",3178709
"22","Rhododendron","Rhododendron prinophyllum","leaf area","860","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Massachusetts","Harvard Forest","public",3225171
"23","Rhododendron",NA,"leaf area","2320","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Connecticut","Cockaponset State Forest","public",3253726
"24","Rhododendron",NA,"leaf nitrogen content per leaf dry mass","14.7","mg.g-1","Total amount of N per unit of dry leaf mass - Cornelissen et al. 2003",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Connecticut","Cockaponset State Forest","public",3253746
"25","Rhododendron","Rhododendron maximum","leaf dry mass","0.3","g","actual measurement",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Pennsylvania","Hawk Mountain Sanctuary","public",3253754
"26","Rhododendron",NA,"leaf dry mass","0.15","g","actual measurement",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Connecticut","Cockaponset State Forest","public",3262470
"27","Rhododendron",NA,"leaf dry mass","0.26","g","actual measurement",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Connecticut","Cockaponset State Forest","public",3696428
"28","Rhododendron",NA,"leaf dry mass","0.14","g","actual measurement",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Connecticut","Cockaponset State Forest","public",3692919
"29","Rhododendron","Rhododendron maximum","leaf dry mass","0.68","g","actual measurement",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Pennsylvania","Hawk Mountain Sanctuary","public",3697249
"30","Rhododendron","Rhododendron maximum","leaf nitrogen content per leaf dry mass","10.2","mg.g-1","Total amount of N per unit of dry leaf mass - Cornelissen et al. 2003",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Pennsylvania","Hawk Mountain Sanctuary","public",3697250
"31","Rhododendron","Rhododendron maximum","leaf area","3670","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Pennsylvania","Hawk Mountain Sanctuary","public",3697251
"32","Rhododendron","Rhododendron maximum","leaf area","5610","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Pennsylvania","Allegheny National Forest","public",3697252
"33","Rhododendron","Rhododendron maximum","leaf area per leaf dry mass","4.86381323","m2.kg-1","leaf dry area calculated with photpographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Pennsylvania","Hawk Mountain Sanctuary","public",3697253
"34","Rhododendron","Rhododendron maximum","leaf area per leaf dry mass","5.102040816","m2.kg-1","leaf dry area calculated with photpographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Pennsylvania","Hawk Mountain Sanctuary","public",3697254
"35","Rhododendron","Rhododendron maximum","leaf area per leaf dry mass","5.521811154","m2.kg-1","leaf dry area calculated with photpographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Pennsylvania","Hawk Mountain Sanctuary","public",3697255
"36","Rhododendron","Rhododendron periclymenoides","leaf area per leaf dry mass","7.358351729","m2.kg-1","leaf dry area calculated with photpographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Connecticut","Cockaponset State Forest","public",3697256
"37","Rhododendron","Rhododendron periclymenoides","leaf area","1260","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Connecticut","Cockaponset State Forest","public",3697257
"38","Rhododendron","Rhododendron periclymenoides","leaf nitrogen content per leaf dry mass","12.3","mg.g-1","Total amount of N per unit of dry leaf mass - Cornelissen et al. 2003",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Connecticut","Cockaponset State Forest","public",3697258
"39","Rhododendron","Rhododendron periclymenoides","leaf dry mass","0.18","g","actual measurement",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Connecticut","Cockaponset State Forest","public",3697259
"40","Rhododendron","Rhododendron prinophyllum","leaf dry mass","0.03","g","actual measurement",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Massachusetts","Harvard Forest","public",3697260
"41","Rhododendron","Rhododendron prinophyllum","leaf area","590","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Massachusetts","Harvard Forest","public",3697261
"42","Rhododendron","Rhododendron prinophyllum","leaf nitrogen content per leaf dry mass","11.1","mg.g-1","Total amount of N per unit of dry leaf mass - Cornelissen et al. 2003",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Massachusetts","Harvard Forest","public",3697262
"43","Rhododendron","Rhododendron prinophyllum","leaf area per leaf dry mass","21.69197397","m2.kg-1","leaf dry area calculated with photpographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Massachusetts","Harvard Forest","public",3697263
"44","Rhododendron","Rhododendron prinophyllum","leaf area","810","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Massachusetts","Harvard Forest","public",3697264
"45","Rhododendron","Rhododendron maximum","whole plant growth form","shrub",NA,NA,NA,NA,NA,"http://www.geobotany.org/library/pubs/WhittakerRH1956_ecomon_1-80.pdf","Whittaker RH",NA,"United States",NA,NA,"public",3843014
"46","Rhododendron","Rhododendron macrophyllum","whole plant height","10.0584","m","Maximum height",NA,NA,NA,"http://www.americanforests.org/resources/bigtrees/register.php",NA,NA,"United States",NA,NA,"public",4406229
"47","Rhododendron","Rhododendron catawbiense","whole plant height","7.9248","m","Maximum height",NA,NA,NA,"http://www.americanforests.org/resources/bigtrees/register.php",NA,NA,"United States",NA,NA,"public",4400604
"48","Rhododendron","Rhododendron macrophyllum","seed mass","0.221","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4405557
"49","Rhododendron","Rhododendron occidentale","seed mass","0.154","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4426545
"50","Rhododendron","Rhododendron occidentale","seed mass","0.131","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4426584
"51","Rhododendron","Rhododendron macrophyllum","seed mass","0.363","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4427561
"52","Rhododendron","Rhododendron catawbiense","whole plant height","5.7912","m","Maximum height",NA,NA,NA,"http://www.americanforests.org/resources/bigtrees/register.php",NA,NA,"United States",NA,NA,"public",4429995
"53","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","3.75","cm",NA,36.029166331,-81.898745608,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Pisgah NF - Pineola","public",8354584
"54","Rhododendron",NA,"diameter at breast height (1.3 m)","1.75","cm",NA,33.49251801,-80.47922741,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Santee State Park","public",11861882
"55","Rhododendron","Rhododendron catawbiense","diameter at breast height (1.3 m)","3.75","cm",NA,38.1703555555556,-78.79315,NA,NA,"Dean Walton",NA,"United States",NA,"Riprap Hollow","public",13766587
"56","Rhododendron",NA,"diameter at breast height (1.3 m)","3.75","cm",NA,33.49251801,-80.47922741,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Santee State Park","public",16069574
"57","Rhododendron",NA,"diameter at breast height (1.3 m)","1.75","cm",NA,35.935374608,-81.919553452,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Pisgah NF - Linville Gorge","public",17174743
"58","Rhododendron","Rhododendron arborescens","diameter at breast height (1.3 m)","2.5","cm",NA,38.95,-77.1667,NA,NA,"James S. MIller",NA,"United States",NA,NA,"public",1193795
"59","Rhododendron","Rhododendron arborescens","whole plant growth form","tree",NA,NA,38.95,-77.1667,NA,NA,"James S. MIller",NA,"United States",NA,NA,"public",1906033
"60","Rhododendron","Rhododendron maximum","leaf photosynthetic rate per leaf dry mass","0.0339","Âµmol.g-1.s-1",NA,35.5,-83.5,775,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","North Carolina",NA,"public",3866583
"61","Rhododendron","Rhododendron maximum","leaf nitrogen content per leaf dry mass","8.6","mg.g-1",NA,35.5,-83.5,775,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","North Carolina",NA,"public",3984984
"62","Rhododendron","Rhododendron maximum","leaf area per leaf dry mass","4.89","m2.kg-1",NA,35.5,-83.5,775,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","North Carolina",NA,"public",3984985
"63","Rhododendron","Rhododendron groenlandicum","leaf nitrogen content per leaf area","0.00158978142","kg.m-2",NA,45.32,-75.59,116,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","Canada","Ontario",NA,"public",4288322
"64","Rhododendron","Rhododendron groenlandicum","leaf nitrogen content per leaf dry mass","14.1","mg.g-1",NA,45.32,-75.59,116,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","Canada","Ontario",NA,"public",4288323
"65","Rhododendron","Rhododendron groenlandicum","leaf phosphorus content per leaf area","0.097","g.m-2",NA,45.32,-75.59,116,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","Canada","Ontario",NA,"public",4288324
"66","Rhododendron","Rhododendron lapponicum","leaf stomatal conductance for H2O per leaf area","161.825726","mol.H2O.m-2.s-1",NA,67.5,-152.5,760,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Alaska",NA,"public",4288325
