"","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Rhus","Rhus glabra","plant flowering begin","7/1/1929","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15269
"2","Rhus","Rhus ovata","leaf area per leaf dry mass","2.972","m2.kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",15294
"3","Rhus","Rhus copallinum","leaf dry mass","0.02","g","actual measurement",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Florida","Dilcher's Woods, upland","public",3102184
"4","Rhus","Rhus glabra","plant flowering begin","6/24/1924","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102467
"5","Rhus","Rhus trilobata","seed mass","22.334","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",3103246
"6","Rhus","Rhus trilobata","seed mass","33.125","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",3103248
"7","Rhus","Rhus glabra","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3110141
"8","Rhus","Rhus glabra","plant flowering begin","6/30/1948","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3110142
"9","Rhus","Rhus glabra","plant flowering begin","7/6/1925","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3110144
"10","Rhus","Rhus glabra","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3110161
"11","Rhus","Rhus glabra","plant flowering begin","7/16/1923","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3110176
"12","Rhus","Rhus glabra","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3110168
"13","Rhus","Rhus glabra","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3110178
"14","Rhus","Rhus glabra","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3110179
"15","Rhus","Rhus glabra","plant flowering begin","6/29/1954","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3110180
"16","Rhus","Rhus glabra","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3110181
"17","Rhus","Rhus glabra","plant flowering begin","6/26/1951","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3110182
"18","Rhus","Rhus glabra","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3110185
"19","Rhus","Rhus glabra","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3110186
"20","Rhus","Rhus glabra","plant flowering begin","7/1/1913","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3115323
"21","Rhus","Rhus copallinum","leaf area","350","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Florida","Dilcher's Woods, upland","public",3114483
"22","Rhus","Rhus copallinum","whole plant height","8.8392","m","Maximum height",NA,NA,NA,"http://www.americanforests.org/resources/bigtrees/register.php",NA,NA,"United States",NA,NA,"public",3147273
"23","Rhus","Rhus glabra","whole plant height","15.8496","m","Maximum height",NA,NA,NA,"http://www.americanforests.org/resources/bigtrees/register.php",NA,NA,"United States",NA,NA,"public",3147897
"24","Rhus","Rhus lanceolata","whole plant height","7.0104","m","Maximum height",NA,NA,NA,"http://www.americanforests.org/resources/bigtrees/register.php",NA,NA,"United States",NA,NA,"public",3147343
"25","Rhus","Rhus virens","whole plant height","3.6576","m","Maximum height",NA,NA,NA,"http://www.americanforests.org/resources/bigtrees/register.php",NA,NA,"United States",NA,NA,"public",3147344
"26","Rhus","Rhus copallinum","whole plant height","6.7056","m","Maximum height",NA,NA,NA,"http://www.americanforests.org/resources/bigtrees/register.php",NA,NA,"United States",NA,NA,"public",3148798
"27","Rhus","Rhus copallinum","leaf area","1100","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","North Carolina","Duke Forest","public",3178704
"28","Rhus","Rhus copallinum","leaf dry mass","0.07","g","actual measurement",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","North Carolina","Duke Forest","public",3178736
"29","Rhus","Rhus copallinum","leaf area per leaf dry mass","9.46969697","m2.kg-1","leaf dry area calculated with photpographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Florida","Archbold Biological Station","public",3178738
"30","Rhus","Rhus copallinum","leaf area per leaf dry mass","7.849293564","m2.kg-1","leaf dry area calculated with photpographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Florida","Archbold Biological Station","public",3178740
"31","Rhus","Rhus copallinum","leaf nitrogen content per leaf dry mass","14.8","mg.g-1","Total amount of N per unit of dry leaf mass - Cornelissen et al. 2003",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","North Carolina","Duke Forest","public",3178741
"32","Rhus","Rhus typhina","leaf area","2510","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Pennsylvania","Allegheny National Forest","public",3178765
"33","Rhus","Rhus glabra","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3184886
"34","Rhus","Rhus glabra","plant flowering begin","6/26/1921","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3185642
"35","Rhus","Rhus glabra","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3195847
"36","Rhus","Rhus copallinum","leaf dry mass","0.08","g","actual measurement",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","North Carolina","Duke Forest","public",3225106
"37","Rhus","Rhus copallinum","leaf area per leaf dry mass","14.83679525","m2.kg-1","leaf dry area calculated with photpographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","North Carolina","Duke Forest","public",3225134
"38","Rhus","Rhus trilobata","leaf carbon content per leaf nitrogen content","26.7748344",NA,NA,NA,NA,1750,"http://datadryad.org/resource/doi:10.5061/dryad.q2n8p","Stevens JT","jtstevens@ucdavis.edu","United States","California",NA,"public",3225159
"39","Rhus","Rhus trilobata","leaf area per leaf dry mass","0.142331962","m2.kg-1",NA,NA,NA,1750,"http://datadryad.org/resource/doi:10.5061/dryad.q2n8p","Stevens JT","jtstevens@ucdavis.edu","United States","California",NA,"public",3225164
"40","Rhus","Rhus copallinum","leaf area","810","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","South Carolina","Little Pee Dee State Park","public",3225172
"41","Rhus","Rhus glabra","plant flowering begin","7/15/1917","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3230477
"42","Rhus","Rhus glabra","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3230518
