"","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Sanguisorba","Sanguisorba minor","whole plant height","0.04","m",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.p3057","DostÃ¡l P","petr.dostal@ibot.cas.cz","Germany",NA,NA,"public",3107469
"2","Sanguisorba","Sanguisorba minor","seed mass","10.4","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3117180
"3","Sanguisorba","Sanguisorba minor","seed mass","7.87","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3117181
"4","Sanguisorba","Sanguisorba minor","seed mass","10.4","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3117182
"5","Sanguisorba","Sanguisorba minor","leaf dry mass per leaf fresh mass","367.0942658","mg.g-1","LDMC was calculated as leaf dry mass divided by leaf fresh mass.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.p3057","DostÃ¡l P","petr.dostal@ibot.cas.cz","Germany",NA,NA,"public",3119489
"6","Sanguisorba","Sanguisorba minor","seed mass","4.4","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3132990
"7","Sanguisorba","Sanguisorba minor","seed mass","5.08","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3133005
"8","Sanguisorba","Sanguisorba minor","seed mass","8.9","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3133006
"9","Sanguisorba","Sanguisorba minor","seed mass","13.7","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3133014
"10","Sanguisorba","Sanguisorba minor","seed mass","10.93","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3133016
"11","Sanguisorba","Sanguisorba minor","seed mass","10.93","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3133028
"12","Sanguisorba","Sanguisorba officinalis","seed mass","0.69","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3133063
"13","Sanguisorba","Sanguisorba minor","seed mass","2.13","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3133067
"14","Sanguisorba","Sanguisorba minor","seed mass","10.93","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3133069
"15","Sanguisorba","Sanguisorba minor","seed mass","13.7","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3133073
"16","Sanguisorba","Sanguisorba minor","seed mass","4.91","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3133086
"17","Sanguisorba","Sanguisorba minor","seed mass","4.66","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3133093
"18","Sanguisorba","Sanguisorba minor","seed mass","3.4","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3133094
"19","Sanguisorba","Sanguisorba minor","seed mass","3.4","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3133096
"20","Sanguisorba","Sanguisorba minor","seed mass","3.4","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3133098
