"","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Sapium","Sapium sebiferum","whole plant height","20.7264","m","Maximum height",NA,NA,NA,"http://www.americanforests.org/resources/bigtrees/register.php",NA,NA,"United States",NA,NA,"public",63
"2","Sapium",NA,"whole plant growth form","tree",NA,NA,12.3,-85.4,NA,NA,"James S. MIller",NA,"Nicaragua",NA,NA,"public",1972092
"3","Sapium","Sapium glandulosum","whole plant height","12","m","Clinometer and distance measurer",8.7275,-83.2161,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3102359
"4","Sapium","Sapium allenii","leaf nitrogen content per leaf dry mass","31","mg.g-1","Dry combustion Autoanalyzer following SC09-LSF-P06",8.681997,-83.1973,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3103809
"5","Sapium","Sapium glandulosum","leaf dry mass","0.378","g","Radwag WTB 200 Precision Balance",8.420674,-83.3137,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3109458
"6","Sapium","Sapium allenii","leaf area","10356","mm2","LICOR-3100 area meter",8.679647,-83.5495,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3107407
"7","Sapium","Sapium glandulosum","leaf area","8372.6","mm2","LICOR-3100 area meter",8.420674,-83.3137,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3109491
"8","Sapium","Sapium allenii","leaf area","20572.7","mm2","LICOR-3100 area meter",8.707199,-83.5245,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3116785
"9","Sapium","Sapium allenii","leaf dry mass per leaf fresh mass","141.093","mg.g-1","LDMmg/LFMg",8.660929,-83.2047,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3112930
"10","Sapium","Sapium glandulosum","stem wood density","0.33","g.cm-3","Williamson, G. B. and M. C. Wiemann. 2010. Measuring wood specific gravity...Correctly. American Journal of Botany 97:519Â524.",8.725749,-83.2152,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3114098
"11","Sapium","Sapium glandulosum","leaf thickness","0.24","mm","Mitutoyo 7321 dial thickness gauge",8.701937,-83.5266,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3114591
"12","Sapium","Sapium laurifolium","leaf area","11290.1","mm2","LICOR-3100 area meter",8.707742,-83.5248,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3119692
"13","Sapium","Sapium glandulosum","seed mass","8.957","mg","Mean seed dry mass, measured with a digital scale after drying at 60 C, where seed is defined to include the endosperm and embryo only.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.69ph0","Kraft TS","thomas.s.kraft@dartmouth.edu","Panama",NA,NA,"public",3122285
"14","Sapium","Sapium glandulosum","leaf thickness","0.29","mm","Mitutoyo 7321 dial thickness gauge",8.725749,-83.2152,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3124116
"15","Sapium","Sapium allenii","leaf area per leaf dry mass","15.367","m2.kg-1","LAcm2/(LDMmg*1g/1000mg)",8.681997,-83.1973,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3151498
"16","Sapium","Sapium allenii","leaf phosphorus content per leaf dry mass","1.2","mg.g-1","content by wet digestion with HNO3 and inductively coupled plasma-optical emission spectrometry (ICP-OES)",8.679647,-83.5495,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3151590
"17","Sapium","Sapium glandulosum","leaf area per leaf dry mass","16.701","m2.kg-1","LAcm2/(LDMmg*1g/1000mg)",8.701937,-83.5266,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3152234
"18","Sapium","Sapium allenii","leaf dry mass","1.083","g","Radwag WTB 200 Precision Balance",8.695028,-83.2066,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3160675
"19","Sapium","Sapium allenii","leaf dry mass per leaf fresh mass","230.909","mg.g-1","LDMmg/LFMg",8.66569,-83.5659,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3161758
"20","Sapium","Sapium glandulosum","leaf dry mass","0.314","g","Radwag WTB 200 Precision Balance",8.420674,-83.3137,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3161895
"21","Sapium","Sapium allenii","leaf dry mass","1.162","g","Radwag WTB 200 Precision Balance",8.695028,-83.2066,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3169209
"22","Sapium","Sapium allenii","leaf dry mass","0.433","g","Radwag WTB 200 Precision Balance",8.703455,-83.53,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3169491
"23","Sapium","Sapium allenii","leaf area","9815.3","mm2","LICOR-3100 area meter",8.679647,-83.5495,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3169798
"24","Sapium","Sapium allenii","leaf dry mass per leaf fresh mass","267.429","mg.g-1","LDMmg/LFMg",8.694066,-83.1947,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3169640
"25","Sapium","Sapium allenii","leaf area","13194.3","mm2","LICOR-3100 area meter",8.681997,-83.1973,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3169666
"26","Sapium","Sapium allenii","leaf area","15368","mm2","LICOR-3100 area meter",8.69618,-83.2059,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3169702
