"","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Vitis",NA,"diameter at breast height (1.3 m)","5","cm",NA,40.05,-81.0167,NA,NA,"James S. MIller",NA,"United States",NA,NA,"public",44873
"2","Vitis",NA,"diameter at breast height (1.3 m)","5","cm",NA,9.1,-79.6,NA,NA,"James S. MIller",NA,"Panama",NA,NA,"public",316706
"3","Vitis",NA,"diameter at breast height (1.3 m)","2.5","cm",NA,38.95,-77.1667,NA,NA,"James S. MIller",NA,"United States",NA,NA,"public",517310
"4","Vitis",NA,"diameter at breast height (1.3 m)","7","cm",NA,39.55,-84.7167,NA,NA,"James S. MIller",NA,"United States",NA,NA,"public",773048
"5","Vitis",NA,"diameter at breast height (1.3 m)","6","cm",NA,19.613,-100,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",923197
"6","Vitis",NA,"diameter at breast height (1.3 m)","14","cm",NA,19.613,-100,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",1491059
"7","Vitis",NA,"whole plant growth form","liana",NA,NA,40.05,-81.0167,NA,NA,"James S. MIller",NA,"United States",NA,NA,"public",1750780
"8","Vitis",NA,"whole plant growth form","liana",NA,NA,9.1,-79.6,NA,NA,"James S. MIller",NA,"Panama",NA,NA,"public",1787291
"9","Vitis",NA,"whole plant growth form","liana",NA,NA,38.5,-90.5167,NA,NA,"James S. MIller",NA,"United States",NA,NA,"public",1860069
"10","Vitis","Vitis bourgaeana","whole plant growth form","liana",NA,NA,17.6167,-96.2833,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1955857
"11","Vitis","Vitis riparia","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102377
"12","Vitis","Vitis riparia","plant flowering begin","6/1/1958","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102418
"13","Vitis","Vitis aestivalis","leaf area per leaf dry mass","22.77904328","m2.kg-1","leaf dry area calculated with photpographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Pennsylvania","Hawk Mountain Sanctuary","public",3109830
"14","Vitis","Vitis rotundifolia","leaf dry mass","0.21","g","actual measurement",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Florida","Dilcher's Woods, lowland","public",3109836
"15","Vitis","Vitis riparia","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3109837
"16","Vitis","Vitis riparia","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3109838
"17","Vitis","Vitis riparia","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3109839
"18","Vitis","Vitis rupestris","leaf dry mass","0.09","g","actual measurement",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Georgia","Big Hammock Natural Area and Wildlife Management Area","public",3109842
"19","Vitis","Vitis riparia","plant flowering begin","6/6/1922","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3114783
"20","Vitis","Vitis rotundifolia","leaf area","1870","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Florida","Dilcher's Woods, lowland","public",3115038
"21","Vitis","Vitis riparia","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3115156
"22","Vitis","Vitis rupestris","leaf area","4890","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","North Carolina","Duke Forest","public",3121831
"23","Vitis","Vitis riparia","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3181802
"24","Vitis","Vitis riparia","plant flowering begin","6/11/1961","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3182495
"25","Vitis","Vitis riparia","plant flowering begin","6/15/1954","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3181964
"26","Vitis","Vitis riparia","plant flowering begin","6/12/1910","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3182005
"27","Vitis","Vitis rotundifolia","leaf area per leaf dry mass","18.90359168","m2.kg-1","leaf dry area calculated with photpographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Florida","Dilcher's Woods, lowland","public",3182536
"28","Vitis","Vitis aestivalis","leaf nitrogen content per leaf dry mass","11.2","mg.g-1","Total amount of N per unit of dry leaf mass - Cornelissen et al. 2003",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Pennsylvania","Hawk Mountain Sanctuary","public",3182538
"29","Vitis","Vitis rotundifolia","leaf nitrogen content per leaf dry mass","11.1","mg.g-1","Total amount of N per unit of dry leaf mass - Cornelissen et al. 2003",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Florida","Dilcher's Woods, lowland","public",3182539
"30","Vitis","Vitis rotundifolia","leaf area per leaf dry mass","22.52252252","m2.kg-1","leaf dry area calculated with photpographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Florida","Dilcher's Woods, lowland","public",3182540
"31","Vitis","Vitis rotundifolia","leaf area","4990","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Florida","Dilcher's Woods, lowland","public",3182541
