"","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Zanthoxylum",NA,"whole plant growth form","tree",NA,NA,19.679,-100,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",1772663
"2","Zanthoxylum",NA,"leaf nitrogen content per leaf dry mass","30","mg.g-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.6p9v5","Bhaskar R","radika@gmail.com","Mexico","Jalisco",NA,"public",3102415
"3","Zanthoxylum","Zanthoxylum americanum","whole plant height","8.5344","m","Maximum height",NA,NA,NA,"http://www.americanforests.org/resources/bigtrees/register.php",NA,NA,"United States",NA,NA,"public",3103173
"4","Zanthoxylum","Zanthoxylum americanum","plant flowering begin","5/17/1917","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3109286
"5","Zanthoxylum","Zanthoxylum americanum","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3109289
"6","Zanthoxylum","Zanthoxylum americanum","plant flowering begin","5/10/1911","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3109301
"7","Zanthoxylum","Zanthoxylum americanum","plant flowering begin","5/10/1911","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3109326
"8","Zanthoxylum","Zanthoxylum americanum","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3114674
"9","Zanthoxylum","Zanthoxylum americanum","plant flowering begin","6/3/1924","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3114707
"10","Zanthoxylum","Zanthoxylum americanum","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3114708
"11","Zanthoxylum","Zanthoxylum melanostictum","leaf nitrogen content per leaf dry mass","20.8","mg.g-1","Total amount of N per unit of dry leaf mass - Cornelissen et al. 2003",10.9326,-85.4588,1500,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","Costa Rica","Guanacaste","30 km above Cacao Biological Station. Pacific slope of Cacao Volcano.","public",3120453
"12","Zanthoxylum","Zanthoxylum americanum","plant flowering begin","5/18/1913","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3124103
"13","Zanthoxylum","Zanthoxylum americanum","plant flowering begin","5/10/1942","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3124495
"14","Zanthoxylum","Zanthoxylum panamense","seed mass","1.3","mg","Mean seed dry mass, measured with a digital scale after drying at 60 C, where seed is defined to include the endosperm and embryo only.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.69ph0","Kraft TS","thomas.s.kraft@dartmouth.edu","Panama",NA,NA,"public",3124508
